st pl ch r c p0 p1 p2 p3
0 2 1 0 0 583.995 122.655 0.029 -1.222
0 2 1 0 1 577.630 130.215 0.029 -1.140
0 2 1 0 2 572.870 126.530 0.030 -1.188
0 2 1 0 3 570.112 129.320 0.030 -1.148
0 2 1 0 4 591.883 119.672 0.031 -1.228
0 2 1 0 5 590.871 120.766 0.031 -1.209
0 2 1 0 6 581.089 121.516 0.031 -1.250
0 2 1 0 7 579.141 123.673 0.031 -1.191
0 2 1 0 8 569.866 125.117 0.030 -1.210
0 2 1 0 9 571.688 125.851 0.029 -1.141
0 2 1 0 10 571.392 129.595 0.029 -1.112
0 2 1 0 11 574.116 128.329 0.027 -1.130
0 2 1 0 12 582.228 122.934 0.029 -1.151
0 2 1 0 13 583.598 124.272 0.029 -1.102
0 2 1 0 14 581.000 121.584 0.030 -1.132
0 2 1 0 15 579.542 122.373 0.030 -1.175
0 2 1 0 16 572.406 126.500 0.031 -1.183
0 2 1 0 17 573.693 124.623 0.031 -1.232
0 2 1 0 18 583.769 115.801 0.032 -1.254
0 2 1 0 19 580.184 119.789 0.030 -1.185
0 2 1 0 20 584.110 118.905 0.031 -1.173
0 2 1 0 21 585.448 117.391 0.032 -1.219
0 2 1 0 22 570.389 117.590 0.032 -1.218
0 2 1 0 23 568.620 120.628 0.030 -1.177
0 2 1 0 24 576.153 118.067 0.032 -1.209
0 2 1 0 25 576.489 120.363 0.030 -1.106
0 2 1 0 26 583.376 118.326 0.030 -1.144
0 2 1 0 27 576.089 124.767 0.029 -1.157
0 2 1 0 28 586.663 113.635 0.032 -1.192
0 2 1 0 29 580.167 120.255 0.030 -1.129
0 2 1 0 30 580.932 113.682 0.032 -1.215
0 2 1 0 31 578.531 116.161 0.031 -1.148
0 2 1 0 32 586.538 112.415 0.032 -1.184
0 2 1 0 33 582.795 116.458 0.032 -1.177
0 2 1 0 34 575.358 119.296 0.032 -1.214
0 2 1 0 35 573.385 122.633 0.031 -1.212
0 2 1 0 36 582.449 117.799 0.034 -1.249
0 2 1 0 37 582.571 121.175 0.033 -1.191
0 2 1 0 38 578.668 123.020 0.031 -1.195
0 2 1 0 39 578.224 124.992 0.029 -1.138
0 2 1 0 40 574.702 118.563 0.030 -1.128
0 2 1 0 41 573.289 118.975 0.030 -1.218
0 2 1 0 42 581.738 124.195 0.029 -1.123
0 2 1 0 43 585.717 119.251 0.029 -1.177
0 2 1 0 44 588.177 118.077 0.029 -1.173
0 2 1 0 45 588.154 119.154 0.029 -1.163
0 2 1 0 46 572.170 119.896 0.029 -1.184
0 2 1 0 47 572.777 119.007 0.028 -1.138
0 2 1 0 48 575.458 119.448 0.028 -1.143
0 2 1 0 49 574.367 122.653 0.027 -1.131
0 2 1 0 50 589.886 122.629 0.027 -1.119
0 2 1 0 51 598.713 113.914 0.028 -1.160
0 2 1 1 0 585.211 120.552 0.030 -1.236
0 2 1 1 1 577.701 129.625 0.030 -1.123
0 2 1 1 2 569.437 129.070 0.031 -1.167
0 2 1 1 3 566.871 132.710 0.029 -1.103
0 2 1 1 4 586.597 124.410 0.030 -1.129
0 2 1 1 5 584.824 126.175 0.031 -1.130
0 2 1 1 6 573.116 128.202 0.030 -1.203
0 2 1 1 7 574.340 127.951 0.030 -1.135
0 2 1 1 8 564.635 129.677 0.030 -1.190
0 2 1 1 9 566.193 131.095 0.029 -1.134
0 2 1 1 10 568.463 132.312 0.028 -1.078
0 2 1 1 11 572.222 129.852 0.029 -1.134
0 2 1 1 12 572.093 131.964 0.029 -1.068
0 2 1 1 13 573.347 135.042 0.028 -0.941
0 2 1 1 14 575.762 126.353 0.030 -1.118
0 2 1 1 15 575.839 125.851 0.030 -1.090
0 2 1 1 16 574.024 124.624 0.032 -1.186
0 2 1 1 17 569.053 129.669 0.030 -1.153
0 2 1 1 18 578.376 120.948 0.031 -1.168
0 2 1 1 19 577.584 121.972 0.031 -1.097
0 2 1 1 20 574.113 128.629 0.029 -1.112
0 2 1 1 21 578.079 124.785 0.031 -1.139
0 2 1 1 22 565.747 122.015 0.031 -1.190
0 2 1 1 23 563.731 125.179 0.030 -1.117
0 2 1 1 24 567.009 127.588 0.029 -1.068
0 2 1 1 25 573.843 122.503 0.031 -1.127
0 2 1 1 26 571.279 130.809 0.029 -1.043
0 2 1 1 27 575.179 125.570 0.030 -1.108
0 2 1 1 28 577.295 122.787 0.030 -1.107
0 2 1 1 29 572.800 128.144 0.029 -1.050
0 2 1 1 30 571.958 122.207 0.031 -1.157
0 2 1 1 31 572.432 122.384 0.031 -1.125
0 2 1 1 32 580.788 117.613 0.031 -1.143
0 2 1 1 33 577.760 121.311 0.030 -1.117
0 2 1 1 34 567.847 126.939 0.030 -1.126
0 2 1 1 35 567.474 128.985 0.029 -1.127
0 2 1 1 36 578.140 122.225 0.031 -1.142
0 2 1 1 37 577.316 125.931 0.030 -1.092
0 2 1 1 38 574.492 126.904 0.030 -1.177
0 2 1 1 39 572.515 131.545 0.028 -1.039
0 2 1 1 40 572.789 120.289 0.030 -1.085
0 2 1 1 41 566.162 126.654 0.029 -1.074
0 2 1 1 42 577.653 128.391 0.028 -1.112
0 2 1 1 43 577.100 128.365 0.028 -1.096
0 2 1 1 44 582.351 123.818 0.028 -1.094
0 2 1 1 45 582.363 125.207 0.027 -1.087
0 2 1 1 46 568.472 123.472 0.028 -1.147
0 2 1 1 47 565.122 126.805 0.027 -1.091
0 2 1 1 48 570.564 123.986 0.027 -1.085
0 2 1 1 49 571.548 125.727 0.027 -1.069
0 2 1 1 50 585.425 127.073 0.027 -1.071
0 2 1 1 51 592.623 119.737 0.027 -1.196
0 2 1 2 0 577.986 127.988 0.028 -1.128
0 2 1 2 1 571.569 136.061 0.028 -1.014
0 2 1 2 2 565.027 133.765 0.029 -1.066
0 2 1 2 3 566.408 132.706 0.029 -1.047
0 2 1 2 4 583.289 127.538 0.029 -1.026
0 2 1 2 5 582.056 128.919 0.029 -1.066
0 2 1 2 6 568.388 133.304 0.028 -1.073
0 2 1 2 7 570.593 131.271 0.029 -1.091
0 2 1 2 8 562.811 131.473 0.029 -1.124
0 2 1 2 9 564.162 132.668 0.029 -1.078
0 2 1 2 10 565.190 136.355 0.027 -1.002
0 2 1 2 11 568.526 133.625 0.028 -1.039
0 2 1 2 12 566.760 137.515 0.027 -0.959
0 2 1 2 13 575.067 132.729 0.028 -0.966
0 2 1 2 14 573.342 129.190 0.029 -1.043
0 2 1 2 15 571.367 130.230 0.029 -1.047
0 2 1 2 16 568.732 129.474 0.030 -1.108
0 2 1 2 17 562.873 136.414 0.028 -1.014
0 2 1 2 18 573.515 125.161 0.030 -1.116
0 2 1 2 19 573.124 125.943 0.029 -1.073
0 2 1 2 20 573.000 127.886 0.029 -1.153
0 2 1 2 21 573.606 129.528 0.029 -1.091
0 2 1 2 22 563.772 123.296 0.030 -1.115
0 2 1 2 23 560.182 128.829 0.029 -1.024
0 2 1 2 24 569.723 123.853 0.030 -1.080
0 2 1 2 25 563.926 133.000 0.028 -0.980
0 2 1 2 26 570.579 131.259 0.028 -1.008
0 2 1 2 27 573.035 128.181 0.029 -1.028
0 2 1 2 28 577.374 122.517 0.030 -1.055
0 2 1 2 29 574.670 125.629 0.029 -1.056
0 2 1 2 30 568.025 126.556 0.029 -1.049
0 2 1 2 31 570.483 123.723 0.030 -1.069
0 2 1 2 32 575.600 123.205 0.030 -1.015
0 2 1 2 33 572.593 126.168 0.029 -1.062
0 2 1 2 34 567.763 126.284 0.029 -1.105
