st pl ch r c p0 p1 p2 p3
0 2 2 0 0 594.959 115.846 0.036 -1.323
0 2 2 0 1 591.678 120.474 0.037 -1.202
0 2 2 0 2 585.029 114.567 0.038 -1.267
0 2 2 0 3 581.285 119.080 0.036 -1.192
0 2 2 0 4 596.693 116.621 0.037 -1.208
0 2 2 0 5 594.575 119.208 0.036 -1.252
0 2 2 0 6 574.078 116.061 0.037 -1.282
0 2 2 0 7 571.859 118.433 0.036 -1.241
0 2 2 0 8 590.711 115.967 0.037 -1.270
0 2 2 0 9 593.815 114.959 0.037 -1.255
0 2 2 0 10 598.077 119.854 0.036 -1.172
0 2 2 0 11 596.264 121.164 0.037 -1.265
0 2 2 0 12 594.038 115.982 0.038 -1.251
0 2 2 0 13 592.698 121.422 0.038 -1.180
0 2 2 0 14 609.430 112.653 0.039 -1.252
0 2 2 0 15 605.883 116.347 0.037 -1.199
0 2 2 0 16 590.560 113.473 0.038 -1.210
0 2 2 0 17 591.486 112.654 0.037 -1.147
0 2 2 0 18 594.353 115.882 0.037 -1.172
0 2 2 0 19 600.168 109.499 0.039 -1.297
0 2 2 0 20 595.097 108.825 0.040 -1.324
0 2 2 0 21 591.794 113.116 0.039 -1.270
0 2 2 0 22 598.261 108.461 0.040 -1.341
0 2 2 0 23 591.344 117.311 0.043 -1.266
0 2 2 0 24 603.811 111.777 0.039 -1.277
0 2 2 0 25 604.443 113.598 0.038 -1.198
0 2 2 0 26 613.955 114.981 0.037 -1.222
0 2 2 0 27 615.092 113.169 0.038 -1.210
0 2 2 0 28 598.669 114.993 0.037 -1.174
0 2 2 0 29 595.060 118.066 0.035 -1.182
0 2 2 0 30 594.580 112.725 0.037 -1.167
0 2 2 0 31 595.114 111.378 0.038 -1.235
0 2 2 0 32 605.075 105.596 0.039 -1.257
0 2 2 0 33 605.102 105.668 0.039 -1.235
0 2 2 0 34 612.923 105.708 0.040 -1.313
0 2 2 0 35 611.454 109.590 0.038 -1.248
