st pl ch r c p0 p1 p2 p3
0 3 0 0 0 586.690 136.200 0.023 -0.793
0 3 0 0 1 546.385 179.593 0.022 -0.517
0 3 0 0 2 567.540 152.203 0.024 -0.693
0 3 0 0 3 571.998 147.453 0.025 -0.732
0 3 0 0 4 563.354 154.238 0.024 -0.702
0 3 0 0 5 542.788 175.973 0.023 -0.517
0 3 0 0 6 555.690 164.582 0.023 -0.683
0 3 0 0 7 559.321 159.786 0.024 -0.679
0 3 0 0 8 570.076 148.969 0.025 -0.795
0 3 0 0 9 566.132 155.790 0.024 -0.741
0 3 0 0 10 563.099 160.604 0.024 -0.688
0 3 0 0 11 560.571 165.236 0.024 -0.645
0 3 0 0 12 557.670 159.227 0.024 -0.690
0 3 0 0 13 550.485 170.819 0.023 -0.620
0 3 0 0 14 577.038 141.925 0.027 -0.769
0 3 0 0 15 578.247 140.949 0.026 -0.795
0 3 0 0 16 566.351 151.415 0.026 -0.725
0 3 0 0 17 567.328 151.467 0.025 -0.731
0 3 0 0 18 570.402 145.191 0.027 -0.762
0 3 0 0 19 565.587 153.454 0.024 -0.710
0 3 0 0 20 553.848 152.701 0.026 -0.742
0 3 0 0 21 571.743 136.310 0.027 -0.914
0 3 0 0 22 567.205 147.726 0.025 -0.733
0 3 0 0 23 563.425 153.409 0.024 -0.692
0 3 0 0 24 575.650 150.695 0.025 -0.696
0 3 0 0 25 590.894 136.550 0.029 -0.789
0 3 0 0 26 574.317 146.296 0.025 -0.755
0 3 0 0 27 571.548 147.090 0.027 -0.781
0 3 0 0 28 578.849 140.612 0.027 -0.803
0 3 0 0 29 570.322 152.105 0.024 -0.718
0 3 0 0 30 581.091 137.491 0.027 -0.864
0 3 0 0 31 578.208 139.283 0.028 -0.858
0 3 0 0 32 584.317 137.265 0.027 -0.864
0 3 0 0 33 581.988 141.257 0.026 -0.786
0 3 0 0 34 575.743 136.704 0.027 -0.902
0 3 0 0 35 561.759 152.639 0.026 -0.720
0 3 0 0 36 573.740 150.855 0.025 -0.698
