st pl ch r c p0 p1 p2 p3
0 3 0 0 0 480.728 220.322 0.022 -0.264
0 3 0 0 1 519.800 177.492 0.029 -0.579
0 3 0 0 2 565.819 124.453 0.041 -1.238
0 3 0 0 3 548.805 140.271 0.038 -0.964
0 3 0 0 4 572.525 115.667 0.046 -1.464
0 3 0 0 5 531.574 161.739 0.031 -0.698
0 3 0 0 6 582.650 88.500 0.072 -2.768
0 3 0 0 7 566.926 109.159 0.043 -1.500
0 3 0 0 8 577.712 87.132 0.072 -2.729
0 3 0 0 9 574.858 90.764 0.072 -2.548
0 3 0 0 10 565.041 121.309 0.043 -1.272
0 3 0 0 11 468.084 223.980 0.027 -0.286
0 3 0 0 12 532.003 161.140 0.027 -0.632
0 3 0 0 13 532.844 159.650 0.033 -0.728
0 3 0 0 14 567.210 126.026 0.039 -1.211
0 3 0 0 15 475.081 222.733 0.025 -0.291
0 3 0 0 16 577.580 101.135 0.054 -1.879
0 3 0 0 17 575.159 96.518 0.065 -2.248
0 3 0 0 18 574.545 114.567 0.042 -1.459
0 3 0 0 19 509.071 181.876 0.029 -0.538
0 3 0 0 20 579.805 82.301 0.096 -3.353
0 3 0 0 21 577.279 77.791 0.166 -5.397
0 3 0 0 22 547.296 122.031 0.035 -1.129
0 3 0 0 23 575.372 83.097 0.082 -3.255
0 3 0 0 24 573.511 106.792 0.052 -1.664
0 3 0 0 25 490.391 199.686 0.028 -0.393
0 3 0 0 26 577.814 101.048 0.057 -1.900
0 3 0 0 27 563.792 110.264 0.053 -1.519
0 3 0 0 28 550.449 137.388 0.038 -0.968
0 3 0 0 29 557.302 127.864 0.046 -1.175
0 3 0 0 30 571.497 69.422 0.547 -17.153
0 3 0 0 31 572.080 112.796 0.052 -1.706
0 3 0 0 32 555.041 129.407 0.038 -1.047
0 3 0 0 33 562.922 119.128 0.047 -1.349
0 3 0 0 34 543.250 145.048 0.032 -0.827
0 3 0 0 35 531.087 155.187 0.032 -0.736
0 3 0 0 36 579.335 87.600 0.079 -2.678
0 3 0 0 37 533.471 140.689 0.035 -0.817
0 3 0 0 38 575.910 106.257 0.042 -1.566
0 3 0 0 39 580.130 95.363 0.060 -2.248
0 3 0 0 40 543.860 138.888 0.042 -1.076
0 3 0 0 41 489.281 194.666 0.026 -0.341
0 3 0 0 42 559.470 120.514 0.038 -1.407
0 3 0 0 43 514.081 174.089 0.022 -0.478
