st pl ch r c p0 p1 p2 p3
0 0 5 0 0 -1324.521 1846.094 0.802 -28.736
0 0 5 0 1 366.019 137.584 1582.440 53.505
0 0 5 0 2 302.511 216.487 0.383 9.496
0 0 5 0 3 243.674 333.592 0.542 -0.612
0 0 5 0 4 247.706 336.772 0.546 -0.611
0 0 5 0 5 263.212 273.799 1.206 1.148
0 0 5 0 6 184.958 416.474 3.195 -0.575
0 0 5 0 7 242.164 332.406 0.541 -0.612
0 0 5 0 8 269.948 273.984 0.118 1.843
0 0 5 0 9 331.691 258.243 0.014 0.704
0 0 5 0 10 -1.000 -1.000 -1.000 -1.000
0 0 5 0 11 259.389 267.107 2.217 1.572
0 0 5 0 12 389.984 154.634 0.233 10.003
0 0 5 0 13 545.283 -0.285 0.542 3.935
0 0 5 0 14 251.746 339.974 0.550 -0.610
0 0 5 0 15 199.742 424.293 3.286 -0.565
0 0 5 0 16 381.634 525.516 0.002 0.109
0 0 5 0 17 552.384 12.337 0.212 -2.134
0 0 5 0 18 448.227 92.108 0.112 10.977
0 0 5 0 19 393.351 146.079 0.154 10.620
0 0 5 0 20 308.366 234.633 0.483 7.813
0 0 5 0 21 358.183 617.212 0.001 0.275
0 0 5 0 22 396.054 133.414 0.112 9.605
0 0 5 0 23 276.900 278.603 0.075 0.471
0 0 5 0 24 287.466 262.034 2.012 -4.371
0 0 5 0 25 246.193 335.577 0.545 -0.611
0 0 5 0 26 289.849 267.817 3.047 7.423
0 0 5 0 27 338.082 400.668 0.003 0.461
0 0 5 0 28 383.192 294.380 0.001 0.579
0 0 5 0 29 384.141 147.305 0.176 9.272
0 0 5 0 30 -81.493 617.825 2.710 -7.143
0 0 5 0 31 372.794 165.839 0.067 5.196
0 0 5 0 32 376.560 133.676 0.119 8.574
0 0 5 0 33 357.608 152.987 0.098 8.292
0 0 5 0 34 287.254 333.932 0.004 0.820
0 0 5 0 35 357.542 185.437 0.084 6.197
0 0 5 0 36 287.159 260.942 0.019 0.914
0 0 5 0 37 277.690 262.883 0.027 1.215
0 0 5 0 38 549.398 18.238 0.209 -3.318
0 0 5 0 39 317.206 396.861 0.001 0.622
0 0 5 0 40 195.703 422.116 3.263 -0.567
0 0 5 0 41 269.277 277.727 1.330 1.286
0 0 5 0 42 163.375 368.625 0.477 3.534
0 0 5 0 43 243.170 333.196 0.542 -0.612
0 0 5 0 44 242.667 332.801 0.541 -0.612
0 0 5 0 45 191.236 419.747 3.236 -0.570
0 0 5 0 46 194.703 421.582 3.257 -0.568
0 0 5 0 47 544.741 -0.748 1.028 5.301
0 0 5 0 48 212.907 297.902 0.179 7.983
0 0 5 0 49 303.254 317.787 0.001 0.866
0 0 5 0 50 381.021 121.977 0.058 5.159
0 0 5 0 51 -1.000 -1.000 -1.000 -1.000
0 0 5 1 0 199.234 424.018 3.283 -0.565
0 0 5 1 1 543.955 -19.962 1.032 6.019
0 0 5 1 2 383.833 135.277 35.809 29.293
0 0 5 1 3 545.547 -27.156 1.037 6.184
0 0 5 1 4 89.225 435.744 0.624 7.358
0 0 5 1 5 238.144 329.258 0.537 -0.613
0 0 5 1 6 382.798 131.238 0.213 9.271
0 0 5 1 7 31.445 491.538 2.051 -4.280
0 0 5 1 8 244.681 334.385 0.543 -0.611
0 0 5 1 9 381.859 138.058 0.141 11.929
0 0 5 1 10 200.725 409.135 0.019 -0.572
0 0 5 1 11 -1.000 -1.000 -1.000 -1.000
0 0 5 1 12 199.742 424.293 3.286 -0.565
0 0 5 1 13 544.316 -1.318 0.543 3.990
0 0 5 1 14 382.833 142.663 0.218 9.320
0 0 5 1 15 585.567 176.236 0.006 -0.336
0 0 5 1 16 157.900 386.589 2.267 -107.394
