st pl ch r c p0 p1 p2 p3
0 2 3 0 0 624.795 146.737 0.023 -0.736
0 2 3 0 1 584.992 200.196 0.014 -0.305
0 2 3 0 2 631.283 126.723 0.016 -0.925
0 2 3 0 3 721.414 1519.874 0.001 -0.136
0 2 3 0 4 301.383 327.141 0.018 -0.628
0 2 3 0 5 -1.000 -1.000 -1.000 -1.000
0 2 3 0 6 -1.000 -1.000 -1.000 -1.000
0 2 3 0 7 286.407 867.661 0.002 0.291
0 2 3 0 8 141.667 869.721 0.002 0.475
0 2 3 0 9 -23.584 951.572 0.003 0.637
0 2 3 0 10 425.540 439.048 0.002 0.123
0 2 3 0 11 635.363 150.903 0.011 -0.762
0 2 3 0 12 -1.000 -1.000 -1.000 -1.000
0 2 3 0 13 758.065 1058.931 0.001 -0.238
0 2 3 0 14 565.172 198.128 0.016 -0.295
0 2 3 0 15 618.650 143.448 0.017 -0.713
0 2 3 0 16 -1.000 -1.000 -1.000 -1.000
0 2 3 0 17 299.044 338.727 0.017 -0.673
0 2 3 0 18 -1.000 -1.000 -1.000 -1.000
0 2 3 0 19 591.692 176.440 0.018 -0.384
0 2 3 0 20 -1.000 -1.000 -1.000 -1.000
0 2 3 0 21 305.878 344.883 0.017 -0.712
0 2 3 0 22 336.563 288.452 0.029 1.379
0 2 3 0 23 498.366 574.890 0.002 -0.012
0 2 3 0 24 -1.000 -1.000 -1.000 -1.000
0 2 3 0 25 586.566 176.875 0.018 -0.432
0 2 3 0 26 717.106 1105.793 0.001 -0.203
0 2 3 0 27 653.488 37.908 0.044 -4.674
0 2 3 0 28 544.039 544.505 0.003 0.016
0 2 3 0 29 659.363 133.904 0.012 -0.915
0 2 3 0 30 705.044 1114.092 0.001 -0.178
0 2 3 0 31 478.934 288.756 0.003 0.033
0 2 3 0 32 554.628 255.333 0.006 -0.229
0 2 3 0 33 756.631 1125.368 0.001 -0.227
0 2 3 0 34 732.703 1053.430 0.001 -0.211
0 2 3 0 35 614.019 818.224 0.001 -0.123
0 2 3 0 36 -1.000 -1.000 -1.000 -1.000
0 2 3 0 37 591.391 1123.748 0.001 -0.050
0 2 3 0 38 -1.000 -1.000 -1.000 -1.000
0 2 3 0 39 644.831 130.228 0.016 -0.916
0 2 3 0 40 249.413 275.134 0.017 -0.633
0 2 3 0 41 404.872 483.308 0.004 0.199
0 2 3 0 42 628.644 106.436 0.018 -1.309
0 2 3 0 43 606.538 129.919 0.026 -0.938
0 2 3 0 44 -1.000 -1.000 -1.000 -1.000
0 2 3 0 45 582.131 155.902 0.023 -0.546
0 2 3 0 46 350.954 341.910 0.004 0.381
0 2 3 0 47 563.195 106.355 0.016 -0.453
0 2 3 0 48 -1.000 -1.000 -1.000 -1.000
0 2 3 0 49 574.861 128.150 0.016 -0.542
0 2 3 0 50 604.560 79.097 0.021 -1.455
0 2 3 0 51 606.108 151.072 0.021 -0.628
