st pl ch r c p0 p1 p2 p3
0 1 0 0 0 697.075 102.305 0.124 -5.130
0 1 0 0 1 691.122 111.904 0.109 -4.320
0 1 0 0 2 694.384 106.633 0.099 -4.119
0 1 0 0 3 693.037 108.489 0.112 -4.509
0 1 0 0 4 684.544 115.987 0.084 -3.460
0 1 0 0 5 689.744 110.154 0.110 -4.410
0 1 0 0 6 682.991 119.826 0.084 -3.410
0 1 0 0 7 681.218 117.047 0.114 -4.453
0 1 0 0 8 681.144 119.924 0.077 -3.120
0 1 0 0 9 683.203 117.233 0.099 -4.010
0 1 0 0 10 691.757 110.102 0.101 -3.948
0 1 0 0 11 693.961 107.434 0.137 -5.146
0 1 0 0 12 694.492 108.562 0.096 -3.916
0 1 0 0 13 695.594 110.349 0.116 -4.702
0 1 0 0 14 700.801 103.712 0.260 -10.251
0 1 0 0 15 695.416 108.556 0.110 -4.520
0 1 0 0 16 693.868 109.402 0.095 -3.844
0 1 0 0 17 692.909 105.664 0.151 -6.029
0 1 0 0 18 688.966 111.678 0.101 -4.039
0 1 0 0 19 694.713 104.423 0.153 -5.995
0 1 0 0 20 684.717 115.539 0.103 -4.047
0 1 0 0 21 689.988 109.455 0.126 -4.873
0 1 0 0 22 686.212 107.693 0.103 -4.026
0 1 0 0 23 692.657 105.917 0.146 -5.612
0 1 0 0 24 691.238 108.938 0.103 -4.144
0 1 0 0 25 692.344 106.726 0.119 -4.690
0 1 0 0 26 692.444 109.146 0.082 -3.328
0 1 0 0 27 697.324 110.591 0.103 -4.201
0 1 0 0 28 1363.317 2475.511 0.002 -0.362
0 1 0 0 29 846.191 908.433 0.006 -0.395
0 1 0 0 30 695.426 105.962 0.110 -4.577
0 1 0 0 31 697.873 102.995 0.153 -6.197
0 1 0 0 32 689.196 112.442 0.084 -3.424
0 1 0 0 33 699.197 100.002 0.105 -4.077
0 1 0 0 34 686.126 113.620 0.088 -3.547
0 1 0 0 35 2429.072 2528.428 0.004 -1.007
0 1 0 0 36 680.643 118.656 0.096 -3.815
0 1 0 0 37 684.090 114.888 0.101 -3.910
0 1 0 0 38 694.983 103.774 0.095 -3.887
0 1 0 0 39 694.983 109.872 0.099 -4.076
0 1 0 0 40 684.143 117.489 0.121 -4.913
0 1 0 0 41 689.011 113.508 0.176 -7.123
0 1 0 0 42 684.465 118.596 0.101 -3.998
0 1 0 0 43 690.629 108.968 0.143 -5.868
0 1 0 0 44 691.298 109.304 0.108 -4.439
0 1 0 0 45 685.001 113.201 0.133 -5.157
0 1 0 0 46 691.097 109.245 0.085 -3.457
0 1 0 0 47 691.109 109.384 0.107 -4.165
0 1 0 0 48 687.923 110.536 0.093 -3.780
0 1 0 0 49 1642.346 3725.059 0.002 -0.324
0 1 0 0 50 681.461 115.913 0.106 -4.099
0 1 0 0 51 695.454 102.712 0.173 -6.895
0 1 0 1 0 694.373 104.801 0.094 -4.049
0 1 0 1 1 686.596 112.289 0.083 -3.445
0 1 0 1 2 688.624 117.442 0.071 -3.102
0 1 0 1 3 686.064 113.237 0.113 -4.703
0 1 0 1 4 681.135 119.164 0.071 -3.014
0 1 0 1 5 680.024 117.488 0.078 -3.337
0 1 0 1 6 677.173 123.404 0.070 -2.983
0 1 0 1 7 671.687 124.673 0.062 -2.502
0 1 0 1 8 672.689 128.323 0.059 -2.524
0 1 0 1 9 678.760 123.016 0.058 -2.505
0 1 0 1 10 684.526 117.496 0.078 -3.122
0 1 0 1 11 687.844 111.300 0.089 -3.547
0 1 0 1 12 685.533 114.689 0.085 -3.488
0 1 0 1 13 688.822 105.052 0.106 -4.420
0 1 0 1 14 691.776 102.922 0.103 -4.254
0 1 0 1 15 693.058 112.764 0.082 -3.530
0 1 0 1 16 687.505 115.598 0.085 -3.542
0 1 0 1 17 690.723 108.906 0.104 -4.388
0 1 0 1 18 683.992 114.491 0.086 -3.634
0 1 0 1 19 684.215 111.212 0.112 -4.747
0 1 0 1 20 682.348 118.590 0.066 -2.742
0 1 0 1 21 679.845 115.860 0.079 -3.265
0 1 0 1 22 685.872 115.853 0.055 -2.598
0 1 0 1 23 671.752 123.481 0.069 -2.705
0 1 0 1 24 684.499 115.260 0.084 -3.473
0 1 0 1 25 680.527 116.267 0.083 -3.216
0 1 0 1 26 682.284 114.902 0.069 -2.883
0 1 0 1 27 690.833 111.202 0.089 -3.837
0 1 0 1 28 687.620 113.460 0.078 -3.316
0 1 0 1 29 692.303 108.234 0.094 -3.954
0 1 0 1 30 688.008 113.218 0.096 -4.102
0 1 0 1 31 691.266 105.228 0.108 -4.485
0 1 0 1 32 689.607 110.848 0.068 -2.898
0 1 0 1 33 688.911 110.898 0.072 -3.054
0 1 0 1 34 683.747 117.485 0.061 -2.611
0 1 0 1 35 682.757 115.012 0.073 -3.036
0 1 0 1 36 672.497 128.096 0.065 -2.694
0 1 0 1 37 678.180 118.092 0.091 -3.706
0 1 0 1 38 1601.257 2885.724 0.002 -0.407
0 1 0 1 39 691.329 107.927 0.108 -4.512
0 1 0 1 40 671.705 126.431 0.084 -3.529
0 1 0 1 41 680.339 121.685 0.094 -3.965
0 1 0 1 42 684.230 114.201 0.096 -3.984
0 1 0 1 43 682.579 114.873 0.125 -5.137
0 1 0 1 44 685.588 114.834 0.080 -3.382
0 1 0 1 45 677.963 119.714 0.089 -3.543
0 1 0 1 46 682.227 116.518 0.060 -2.578
0 1 0 1 47 1109.260 2610.934 0.002 -0.244
0 1 0 1 48 686.681 110.304 0.065 -2.763
0 1 0 1 49 681.291 115.623 0.062 -2.542
0 1 0 1 50 675.594 121.626 0.069 -2.895
0 1 0 1 51 688.897 107.617 0.101 -4.224
0 1 0 2 0 678.412 94.490 0.050 -2.270
0 1 0 2 1 688.505 110.430 0.080 -3.411
0 1 0 2 2 671.192 108.407 0.047 -2.223
0 1 0 2 3 687.042 114.090 0.099 -4.163
0 1 0 2 4 1056.147 3296.781 0.001 -0.176
0 1 0 2 5 673.479 127.420 0.054 -2.347
0 1 0 2 6 665.780 119.121 0.040 -1.971
0 1 0 2 7 663.969 132.673 0.059 -2.391
0 1 0 2 8 840.437 2988.522 0.001 -0.121
0 1 0 2 9 662.352 135.698 0.048 -2.057
0 1 0 2 10 832.588 2859.402 0.001 -0.113
0 1 0 2 11 686.214 118.218 0.061 -2.510
0 1 0 2 12 683.558 114.413 0.038 -2.039
0 1 0 2 13 1375.399 3999.506 0.001 -0.233
0 1 0 2 14 668.161 95.371 0.068 -2.839
0 1 0 2 15 681.660 107.306 0.073 -3.115
0 1 0 2 16 669.065 88.837 0.063 -2.958
0 1 0 2 17 692.827 103.234 0.146 -5.973
0 1 0 2 18 663.216 110.957 0.045 -2.006
0 1 0 2 19 683.308 106.997 0.140 -5.490
0 1 0 2 20 971.744 3034.199 0.001 -0.157
0 1 0 2 21 673.911 126.698 0.053 -2.215
0 1 0 2 22 670.015 97.830 0.047 -2.365
0 1 0 2 23 677.014 96.303 0.156 -6.421
0 1 0 2 24 669.732 99.116 0.051 -2.366
0 1 0 2 25 687.547 115.167 0.094 -3.947
0 1 0 2 26 671.759 93.256 0.086 -3.949
0 1 0 2 27 689.397 105.070 0.098 -4.178
0 1 0 2 28 679.374 119.839 0.039 -1.876
0 1 0 2 29 692.042 107.441 0.079 -3.262
0 1 0 2 30 934.132 2750.768 0.001 -0.163
0 1 0 2 31 3486.385 3914.845 0.003 -1.008
0 1 0 2 32 676.464 94.588 0.051 -2.527
0 1 0 2 33 681.068 119.132 0.056 -2.357
0 1 0 2 34 653.745 126.828 0.037 -1.621
0 1 0 2 35 679.150 124.789 0.049 -2.065
0 1 0 2 36 1004.124 3066.095 0.001 -0.169
0 1 0 2 37 669.744 136.329 0.048 -1.977
0 1 0 2 38 684.801 93.680 0.059 -2.984
0 1 0 2 39 682.790 106.027 0.112 -4.506
0 1 0 2 40 659.925 127.337 0.043 -1.928
0 1 0 2 41 678.222 119.810 0.093 -3.895
0 1 0 2 42 669.265 102.522 0.069 -3.065
0 1 0 2 43 1233.160 4177.257 0.001 -0.192
0 1 0 2 44 805.385 1941.019 0.002 -0.162
0 1 0 2 45 675.883 120.289 0.072 -2.856
0 1 0 2 46 818.734 1957.120 0.002 -0.158
0 1 0 2 47 683.417 114.395 0.061 -2.583
0 1 0 2 48 842.895 2695.144 0.001 -0.125
0 1 0 2 49 693.842 122.179 0.051 -2.323
0 1 0 2 50 659.676 109.179 0.042 -2.001
0 1 0 2 51 706.711 235.270 0.017 -0.846
0 1 0 3 0 697.137 103.522 0.104 -4.344
0 1 0 3 1 693.018 105.748 0.191 -7.672
0 1 0 3 2 690.414 111.912 0.107 -4.524
0 1 0 3 3 689.976 109.652 0.143 -5.824
0 1 0 3 4 684.191 115.302 0.115 -4.741
0 1 0 3 5 686.210 114.540 0.118 -4.827
0 1 0 3 6 679.496 123.440 0.089 -3.660
0 1 0 3 7 680.083 119.724 0.104 -4.092
0 1 0 3 8 673.063 125.536 0.079 -3.218
0 1 0 3 9 677.511 123.175 0.104 -4.076
0 1 0 3 10 690.594 111.083 0.110 -4.315
0 1 0 3 11 690.581 109.997 0.115 -4.437
0 1 0 3 12 691.667 111.450 0.140 -5.626
0 1 0 3 13 698.474 102.379 3.640 -144.304
0 1 0 3 14 2107.910 3608.245 0.002 -0.492
0 1 0 3 15 1537.986 2659.964 0.002 -0.427
0 1 0 3 16 694.028 100.913 0.164 -6.649
0 1 0 3 17 694.182 102.999 0.253 -10.281
0 1 0 3 18 687.220 112.372 0.132 -5.275
0 1 0 3 19 683.641 112.078 0.121 -4.778
0 1 0 3 20 682.837 109.846 0.144 -5.509
0 1 0 3 21 686.117 112.184 0.177 -6.754
0 1 0 3 22 684.494 114.267 0.154 -5.901
0 1 0 3 23 686.483 113.030 0.135 -5.122
0 1 0 3 24 1748.392 2249.777 0.003 -0.641
0 1 0 3 25 685.195 116.802 0.127 -4.891
0 1 0 3 26 690.067 112.655 0.116 -4.795
0 1 0 3 27 691.728 107.464 0.153 -6.273
0 1 0 3 28 693.795 106.257 0.112 -4.658
0 1 0 3 29 695.210 107.564 0.127 -5.207
0 1 0 3 30 695.361 106.409 0.128 -5.380
0 1 0 3 31 687.079 110.546 0.121 -4.952
0 1 0 3 32 691.869 107.903 0.090 -3.654
0 1 0 3 33 695.899 104.871 0.096 -3.855
0 1 0 3 34 680.463 119.032 0.079 -3.172
0 1 0 3 35 684.033 118.397 0.110 -4.299
0 1 0 3 36 680.436 121.038 0.096 -3.794
0 1 0 3 37 1268.945 4257.034 0.001 -0.197
0 1 0 3 38 689.541 109.599 0.109 -4.408
0 1 0 3 39 693.336 101.974 0.135 -5.455
0 1 0 3 40 682.644 117.449 0.124 -5.202
0 1 0 3 41 686.548 112.756 0.179 -7.293
