st pl ch r c p0 p1 p2 p3
0 3 5 0 0 523.070 152.227 0.023 -0.965
0 3 5 0 1 482.931 200.377 0.019 -0.577
0 3 5 0 2 497.700 187.761 0.018 -0.663
0 3 5 0 3 497.388 184.410 0.020 -0.666
0 3 5 0 4 506.784 184.133 0.019 -0.648
0 3 5 0 5 501.083 183.291 0.020 -0.663
0 3 5 0 6 510.220 189.349 0.019 -0.613
0 3 5 0 7 510.683 193.644 0.018 -0.629
0 3 5 0 8 492.940 189.272 0.020 -0.649
0 3 5 0 9 501.306 183.895 0.020 -0.648
0 3 5 0 10 508.138 183.152 0.020 -0.663
0 3 5 0 11 513.303 176.062 0.022 -0.685
0 3 5 0 12 508.837 170.764 0.025 -0.789
0 3 5 0 13 506.098 178.426 0.023 -0.691
0 3 5 0 14 557.298 139.949 0.039 -1.386
0 3 5 0 15 517.876 181.295 0.025 -0.725
0 3 5 0 16 505.641 182.490 0.022 -0.647
0 3 5 0 17 500.645 190.919 0.020 -0.611
0 3 5 0 18 564.281 128.533 0.041 -1.525
0 3 5 0 19 535.776 157.027 0.028 -0.907
0 3 5 0 20 517.709 177.291 0.022 -0.686
0 3 5 0 21 519.149 175.867 0.022 -0.715
0 3 5 0 22 511.766 174.541 0.025 -0.740
0 3 5 0 23 510.110 180.385 0.022 -0.668
0 3 5 0 24 522.521 158.457 0.027 -0.931
0 3 5 0 25 519.815 168.825 0.022 -0.760
0 3 5 0 26 511.163 152.178 0.028 -0.955
0 3 5 0 27 492.471 171.370 0.024 -0.731
0 3 5 0 28 511.955 174.891 0.021 -0.702
0 3 5 0 29 513.204 167.343 0.024 -0.794
0 3 5 0 30 510.622 146.044 0.031 -1.078
0 3 5 0 31 487.692 176.726 0.020 -0.687
0 3 5 0 32 505.984 182.419 0.020 -0.686
0 3 5 0 33 499.870 186.384 0.020 -0.621
0 3 5 0 34 514.948 175.444 0.020 -0.705
0 3 5 0 35 497.031 192.232 0.020 -0.567
0 3 5 0 36 518.688 151.997 0.027 -0.904
0 3 5 0 37 498.828 183.139 0.020 -0.615
0 3 5 0 38 515.215 169.630 0.024 -0.758
0 3 5 0 39 501.021 187.049 0.021 -0.586
0 3 5 0 40 507.034 179.110 0.021 -0.634
0 3 5 0 41 513.122 173.082 0.020 -0.675
0 3 5 0 42 518.227 156.029 0.027 -0.914
0 3 5 0 43 478.437 205.495 0.018 -0.486
0 3 5 0 44 484.906 186.892 0.020 -0.612
0 3 5 0 45 490.871 180.882 0.021 -0.637
0 3 5 0 46 502.643 171.370 0.022 -0.693
0 3 5 0 47 500.998 170.643 0.023 -0.713
0 3 5 0 48 501.852 173.436 0.024 -0.700
0 3 5 0 49 503.282 177.950 0.021 -0.657
0 3 5 0 50 530.175 142.689 0.031 -1.070
0 3 5 0 51 508.912 176.399 0.017 -0.649
0 3 5 1 0 497.994 194.185 0.016 -0.608
0 3 5 1 1 501.674 184.342 0.019 -0.702
0 3 5 1 2 506.820 167.692 0.027 -0.907
0 3 5 1 3 495.514 192.067 0.018 -0.654
0 3 5 1 4 525.868 153.740 0.026 -0.931
0 3 5 1 5 499.429 189.225 0.019 -0.623
0 3 5 1 6 573.637 116.538 0.046 -1.956
0 3 5 1 7 499.463 196.786 0.020 -0.585
0 3 5 1 8 504.031 178.449 0.021 -0.730
0 3 5 1 9 542.761 133.208 0.040 -1.576
0 3 5 1 10 518.814 174.270 0.021 -0.721
