st pl ch r c p0 p1 p2 p3
0 1 6 0 0 608.573 95.282 0.215 -10.732
0 1 6 0 1 646.536 140.746 0.042 -1.956
0 1 6 0 2 603.694 82.755 0.089 -3.532
0 1 6 0 3 654.549 168.969 0.030 -1.486
0 1 6 0 4 641.313 174.776 0.027 -1.287
0 1 6 0 5 648.865 145.634 0.037 -1.847
0 1 6 0 6 647.095 169.329 0.028 -1.431
0 1 6 0 7 631.943 201.451 0.019 -0.967
0 1 6 0 8 653.606 154.414 0.032 -1.629
0 1 6 0 9 1626.705 1316.688 0.007 -1.338
0 1 6 0 10 1258.614 1759.918 0.002 -0.469
0 1 6 0 11 660.130 150.744 0.036 -1.780
0 1 6 0 12 3130.253 2884.138 0.006 -1.554
0 1 6 0 13 4012.576 3559.955 0.014 -2.462
0 1 6 0 14 893.041 454.674 0.012 -1.210
0 1 6 0 15 641.984 154.355 0.034 -1.469
0 1 6 0 16 642.854 199.931 0.019 -1.018
0 1 6 0 17 396.337 216.951 0.024 0.595
0 1 6 0 18 647.055 159.039 0.028 -1.492
0 1 6 0 19 645.110 164.260 0.034 -1.627
0 1 6 0 20 647.187 321.110 0.011 -0.560
0 1 6 0 21 649.753 169.666 0.027 -1.277
0 1 6 0 22 4933.026 4764.667 0.004 -1.653
0 1 6 0 23 662.382 129.378 0.055 -2.504
0 1 6 0 24 646.449 122.784 0.059 -2.554
0 1 6 0 25 578.945 47.375 0.095 -3.073
0 1 6 0 26 992.151 547.837 0.011 -1.318
0 1 6 0 27 651.992 127.347 0.062 -2.771
0 1 6 0 28 416.344 1534.893 0.002 0.043
0 1 6 0 29 679.301 1223.373 0.002 -0.158
0 1 6 0 30 2013.194 1973.577 0.003 -1.021
0 1 6 0 31 4047.174 3619.267 0.011 -2.278
0 1 6 0 32 2320.936 2492.379 0.003 -0.943
0 1 6 0 33 -5712.567 17885.605 0.000 0.361
0 1 6 0 34 732.272 314.245 0.011 -0.929
0 1 6 0 35 593.522 73.978 0.087 -3.138
0 1 6 0 36 1970.451 1755.822 0.004 -1.210
0 1 6 0 37 162.677 868.781 0.006 0.358
0 1 6 0 38 1679.587 1444.002 0.005 -1.185
0 1 6 0 39 659.652 150.037 0.040 -2.031
0 1 6 0 40 658.333 192.840 0.019 -1.015
0 1 6 0 41 931.448 1510.225 0.002 -0.301
0 1 6 0 42 654.033 155.144 0.031 -1.526
0 1 6 0 43 647.815 155.707 0.034 -1.670
0 1 6 0 44 658.395 150.767 0.030 -1.524
0 1 6 0 45 650.253 137.566 0.044 -2.003
0 1 6 0 46 654.185 202.502 0.021 -1.097
0 1 6 0 47 4055.723 4285.977 0.003 -1.218
0 1 6 0 48 2931.830 2768.202 0.004 -1.406
0 1 6 0 49 640.972 153.537 0.032 -1.469
0 1 6 0 50 604.962 331.823 0.011 -0.450
0 1 6 0 51 631.319 222.755 0.017 -0.799
0 1 6 1 0 461.328 2289.441 0.001 0.001
0 1 6 1 1 -346.173 2042.030 0.002 0.418
0 1 6 1 2 607.110 97.341 0.065 -2.630
0 1 6 1 3 1049.954 2183.394 0.002 -0.283
0 1 6 1 4 649.342 2193.928 0.001 -0.090
0 1 6 1 5 639.405 230.655 0.019 -0.969
0 1 6 1 6 584.384 539.398 0.006 -0.260
0 1 6 1 7 1195.982 3057.163 0.001 -0.257
0 1 6 1 8 1256.462 3585.502 0.001 -0.234
0 1 6 1 9 600.485 79.886 0.109 -4.690
0 1 6 1 10 936.225 3938.691 0.001 -0.120
0 1 6 1 11 636.046 231.129 0.017 -0.818
0 1 6 1 12 609.408 106.284 0.040 -1.740
0 1 6 1 13 602.941 212.807 0.017 -0.701
0 1 6 1 14 6797.929 6336.433 0.011 -2.767
0 1 6 1 15 637.202 269.109 0.015 -0.706
0 1 6 1 16 609.430 96.905 0.054 -2.360
0 1 6 1 17 548.323 440.294 0.008 -0.216
0 1 6 1 18 870.385 5013.654 0.001 -0.086
0 1 6 1 19 607.962 129.027 0.044 -1.897
0 1 6 1 20 565.079 167.242 0.014 -0.452
0 1 6 1 21 606.206 81.738 0.132 -5.180
0 1 6 1 22 590.311 56.706 0.089 -3.233
0 1 6 1 23 625.335 123.882 0.045 -1.797
0 1 6 1 24 615.817 95.192 0.057 -2.478
0 1 6 1 25 938.146 3400.028 0.001 -0.136
0 1 6 1 26 557.592 4846.887 0.001 -0.025
0 1 6 1 27 638.223 317.293 0.013 -0.630
0 1 6 1 28 613.541 84.888 0.180 -7.164
0 1 6 1 29 597.073 99.632 0.044 -1.924
0 1 6 1 30 385.365 192.680 0.080 18.995
0 1 6 1 31 608.743 89.710 0.060 -2.473
0 1 6 1 32 520.908 3927.075 0.001 -0.019
0 1 6 1 33 647.657 162.194 0.031 -1.532
0 1 6 1 34 611.303 92.024 0.080 -3.342
0 1 6 1 35 628.088 126.683 0.045 -2.172
0 1 6 1 36 607.686 100.144 0.046 -1.966
0 1 6 1 37 578.180 263.145 0.016 -0.519
0 1 6 1 38 616.485 158.300 0.031 -1.333
0 1 6 1 39 584.157 252.289 0.018 -0.661
0 1 6 1 40 619.023 96.345 0.050 -2.182
0 1 6 1 41 1504.048 3630.597 0.001 -0.297
0 1 6 1 42 632.890 110.437 0.071 -3.163
0 1 6 1 43 -577.515 1662.070 0.004 0.718
0 1 6 1 44 508.842 3453.509 0.001 -0.015
0 1 6 1 45 1377.480 2431.038 0.002 -0.401
0 1 6 1 46 607.353 89.025 0.058 -2.560
0 1 6 1 47 599.492 77.200 0.233 -9.191
0 1 6 1 48 351.123 1512.899 0.002 0.073
0 1 6 1 49 -619.417 1766.224 0.004 0.699
0 1 6 1 50 480.970 2681.297 0.002 -0.021
0 1 6 1 51 -1133.109 2232.743 0.005 0.848
0 1 6 2 0 -108.415 1060.442 0.004 0.601
0 1 6 2 1 -1708.704 2670.945 0.005 1.126
0 1 6 2 2 3442.737 3642.613 0.002 -1.140
0 1 6 2 3 -129.122 1264.489 0.004 0.481
0 1 6 2 4 840.640 2889.961 0.001 -0.123
0 1 6 2 5 608.936 97.406 0.068 -2.858
0 1 6 2 6 578.499 78.226 0.057 -2.393
0 1 6 2 7 595.381 76.688 0.144 -5.711
0 1 6 2 8 577.855 69.505 0.047 -2.076
0 1 6 2 9 610.076 2272.638 0.001 -0.066
0 1 6 2 10 -1312.382 2176.660 0.006 1.131
0 1 6 2 11 -6004.441 7494.566 0.002 1.301
0 1 6 2 12 890.873 3393.938 0.001 -0.126
0 1 6 2 13 583.816 65.046 0.055 -2.165
0 1 6 2 14 908.750 2141.747 0.001 -0.196
0 1 6 2 15 622.835 239.110 0.018 -0.760
0 1 6 2 16 594.994 86.951 0.052 -2.160
0 1 6 2 17 777.580 6321.383 0.001 -0.056
0 1 6 2 18 -730.026 1540.180 0.006 1.021
0 1 6 2 19 608.181 83.615 0.184 -7.303
0 1 6 2 20 602.215 75.021 0.061 -2.781
0 1 6 2 21 511.519 2567.620 0.001 -0.016
0 1 6 2 22 861.212 3990.783 0.001 -0.095
0 1 6 2 23 6468.720 6018.046 0.009 -2.602
0 1 6 2 24 533.035 16.585 0.194 -3.644
0 1 6 2 25 4286.665 3957.010 0.006 -1.938
0 1 6 2 26 356.006 247.100 0.034 12.076
0 1 6 2 27 189.170 1327.530 0.003 0.203
0 1 6 2 28 342.040 1407.625 0.002 0.087
0 1 6 2 29 693.986 2877.286 0.001 -0.087
0 1 6 2 30 661.260 2821.539 0.001 -0.062
0 1 6 2 31 583.812 62.738 0.069 -2.530
0 1 6 2 32 -1763.799 2559.144 0.006 1.341
0 1 6 2 33 1618.288 1438.465 0.004 -1.094
0 1 6 2 34 241.636 1515.761 0.002 0.151
0 1 6 2 35 1232.499 3062.344 0.001 -0.259
0 1 6 2 36 891.398 2622.940 0.001 -0.156
0 1 6 2 37 676.794 287.863 0.013 -0.835
0 1 6 2 38 3684.848 4020.938 0.002 -1.094
0 1 6 2 39 608.548 186.019 0.025 -1.053
0 1 6 2 40 516.709 221.708 0.013 -0.170
0 1 6 2 41 -241.712 1250.560 0.005 0.620
0 1 6 2 42 597.206 49.891 3.308 -169.904
0 1 6 2 43 606.332 79.270 0.119 -4.708
0 1 6 2 44 548.387 87.000 0.034 -0.851
0 1 6 2 45 1053.102 2328.233 0.001 -0.255
0 1 6 2 46 -2116.452 2886.532 0.007 1.421
0 1 6 2 47 608.816 94.164 0.067 -2.994
0 1 6 2 48 708.878 1945.100 0.001 -0.122
