st pl ch r c p0 p1 p2 p3
1 1 0 2 13 576.321 337.097 0.035 -1.519
1 1 0 2 14 609.791 301.357 0.038 -1.784
1 1 0 2 15 590.516 324.304 0.036 -1.661
1 1 0 2 16 606.330 302.638 0.037 -1.820
1 1 0 2 17 597.960 313.540 0.033 -1.667
1 1 0 2 18 618.652 298.655 0.037 -1.758
1 1 0 2 19 619.945 298.452 0.037 -1.761
1 1 0 2 20 573.565 324.513 0.037 -1.701
1 1 0 2 21 603.374 295.293 0.038 -1.847
1 1 0 2 22 612.219 299.195 0.037 -1.670
1 1 0 2 23 606.436 304.956 0.032 -1.707
1 1 0 2 24 611.855 295.131 0.036 -1.770
1 1 0 2 25 591.460 320.853 0.034 -1.606
1 1 0 2 26 622.988 297.624 0.037 -1.633
1 1 0 2 27 642.160 279.213 0.037 -1.714
1 1 0 2 28 603.407 294.737 0.036 -1.746
1 1 0 2 29 616.141 280.681 0.036 -1.925
1 1 0 2 30 579.148 302.438 0.038 -1.804
1 1 0 2 31 552.955 334.265 0.035 -1.555
1 1 0 2 32 599.888 316.926 0.038 -1.547
1 1 0 2 33 612.968 305.181 0.039 -1.709
1 1 0 2 34 611.823 291.437 0.038 -1.812
1 1 0 2 35 592.411 314.628 0.038 -1.623
1 1 0 2 36 584.705 303.342 0.035 -1.776
1 1 0 2 37 559.349 333.569 0.034 -1.592
1 1 0 2 38 595.180 299.537 0.039 -1.804
1 1 0 2 39 579.432 316.693 0.037 -1.716
1 1 0 2 40 613.819 277.887 0.041 -1.896
1 1 0 2 41 592.722 301.456 0.036 -1.790
1 1 0 2 42 616.623 293.135 0.039 -1.640
1 1 0 2 43 606.726 304.648 0.037 -1.661
1 1 0 2 44 587.230 309.925 0.038 -1.596
1 1 0 2 45 588.924 308.874 0.037 -1.681
1 1 0 2 46 625.761 284.690 0.040 -1.806
1 1 0 2 47 588.910 326.100 0.036 -1.556
1 1 0 2 48 594.117 316.412 0.036 -1.546
1 1 0 2 49 598.267 315.337 0.036 -1.643
1 1 0 2 50 637.026 271.999 0.042 -1.917
1 1 0 2 51 619.412 291.512 0.035 -1.704
1 1 0 3 0 632.586 279.657 0.044 -2.560
1 1 0 3 1 612.369 316.678 0.044 -2.004
1 1 0 3 2 608.786 307.268 0.046 -2.177
1 1 0 3 3 581.897 342.840 0.043 -1.934
1 1 0 3 4 600.248 321.410 0.043 -1.934
1 1 0 3 5 602.044 325.885 0.044 -1.957
1 1 0 3 6 613.745 317.063 0.045 -2.100
1 1 0 3 7 615.946 318.741 0.042 -2.046
1 1 0 3 8 619.431 310.017 0.045 -2.060
1 1 0 3 9 578.217 359.513 0.041 -1.694
1 1 0 3 10 614.791 305.925 0.047 -2.194
1 1 0 3 11 578.229 351.231 0.042 -1.832
1 1 0 3 12 626.728 300.335 0.046 -2.104
1 1 0 3 13 626.339 305.513 0.047 -2.138
1 1 0 3 14 626.182 302.398 0.041 -1.927
1 1 0 3 15 620.978 312.020 0.042 -1.962
1 1 0 3 16 603.077 323.621 0.041 -1.975
1 1 0 3 17 588.312 343.686 0.036 -1.736
1 1 0 3 18 628.138 307.351 0.045 -1.966
1 1 0 3 19 601.308 338.182 0.040 -1.692
1 1 0 3 20 616.629 295.343 0.041 -2.254
1 1 0 3 21 595.701 327.853 0.044 -1.964
1 1 0 3 22 630.665 299.108 0.044 -1.934
1 1 0 3 23 607.580 323.170 0.036 -1.772
1 1 0 3 24 633.359 291.610 0.043 -2.140
1 1 0 3 25 593.134 340.960 0.038 -1.640
1 1 0 3 26 638.914 297.069 0.041 -1.922
1 1 0 3 27 602.813 341.733 0.035 -1.547
1 1 0 3 28 622.143 292.623 0.043 -2.189
1 1 0 3 29 631.727 290.807 0.048 -2.173
1 1 0 3 30 599.054 303.264 0.046 -2.187
1 1 0 3 31 609.820 296.970 0.044 -2.185
1 1 0 3 32 652.328 278.578 0.050 -2.305
1 1 0 3 33 591.732 350.769 0.040 -1.577
1 1 0 3 34 621.952 300.142 0.046 -2.098
1 1 0 3 35 621.475 305.869 0.047 -2.050
1 1 0 3 36 605.656 301.182 0.046 -2.233
1 1 0 3 37 599.020 315.414 0.041 -2.015
1 1 0 3 38 615.140 296.979 0.043 -2.145
1 1 0 3 39 589.976 329.542 0.044 -2.006
1 1 0 3 40 628.542 280.539 0.045 -2.198
1 1 0 3 41 613.318 303.820 0.046 -2.073
1 1 0 3 42 654.377 269.265 0.050 -2.292
1 1 0 3 43 606.699 326.050 0.041 -1.752
1 1 0 3 44 620.336 293.232 0.046 -2.210
1 1 0 3 45 597.885 322.445 0.045 -1.966
1 1 0 3 46 645.157 280.350 0.044 -2.140
1 1 0 3 47 614.117 320.098 0.042 -1.879
1 1 0 3 48 619.968 305.935 0.045 -1.979
1 1 0 3 49 622.823 310.152 0.044 -1.944
1 1 0 3 50 620.790 305.777 0.037 -1.892
1 1 0 3 51 623.532 308.650 0.038 -1.820
1 1 0 4 0 608.118 299.132 0.037 -1.828
1 1 0 4 1 618.513 294.973 0.042 -2.082
1 1 0 4 2 592.074 312.242 0.038 -1.771
1 1 0 4 3 583.787 326.756 0.040 -1.805
1 1 0 4 4 601.892 304.568 0.040 -1.838
1 1 0 4 5 584.039 331.203 0.038 -1.718
1 1 0 4 6 614.121 304.052 0.040 -1.847
1 1 0 4 7 618.716 305.549 0.041 -1.932
1 1 0 4 8 607.860 309.414 0.040 -1.788
1 1 0 4 9 587.368 335.186 0.037 -1.726
1 1 0 4 10 602.522 305.201 0.039 -1.830
1 1 0 4 11 609.794 304.102 0.042 -1.969
1 1 0 4 12 614.661 300.068 0.041 -1.847
1 1 0 4 13 608.394 311.149 0.041 -1.844
1 1 0 4 14 618.591 296.270 0.037 -1.903
1 1 0 4 15 620.021 301.318 0.038 -1.903
1 1 0 4 16 617.119 296.776 0.041 -1.909
1 1 0 4 17 625.396 290.365 0.040 -2.068
1 1 0 4 18 615.047 309.490 0.036 -1.587
1 1 0 4 19 621.477 305.607 0.037 -1.800
1 1 0 4 20 594.443 307.814 0.038 -1.848
1 1 0 4 21 602.100 307.227 0.042 -1.943
1 1 0 4 22 596.808 321.681 0.037 -1.528
1 1 0 4 23 623.019 295.585 0.033 -1.814
1 1 0 4 24 616.565 296.244 0.036 -1.764
1 1 0 4 25 609.436 308.599 0.036 -1.848
1 1 0 4 26 612.281 314.331 0.031 -1.505
1 1 0 4 27 629.343 300.787 0.035 -1.734
1 1 0 4 28 604.237 299.164 0.035 -1.782
1 1 0 4 29 614.774 293.898 0.039 -1.941
1 1 0 4 30 575.919 310.855 0.038 -1.809
