st pl ch r c slope pedestal max
2 2 3 0 0 4.552 419.121 708.000
2 2 3 0 1 4.855 427.800 713.000
2 2 3 0 2 4.913 428.154 711.000
2 2 3 0 3 4.120 452.931 711.000
2 2 3 0 4 4.490 428.949 701.000
2 2 3 0 5 4.517 426.948 703.000
2 2 3 0 6 4.202 460.137 722.000
2 2 3 0 7 4.529 452.308 723.000
2 2 3 0 8 4.634 427.012 707.000
2 2 3 0 9 4.182 428.752 707.000
2 2 3 0 10 4.165 467.532 730.000
2 2 3 0 11 4.446 465.111 730.000
2 2 3 0 12 4.409 448.153 718.000
2 2 3 0 13 4.357 459.360 721.000
2 2 3 0 14 4.177 448.869 713.000
2 2 3 0 15 4.421 442.907 714.000
2 2 3 0 16 4.226 464.437 719.000
2 2 3 0 17 4.323 453.204 718.000
2 2 3 0 18 4.419 445.900 719.000
2 2 3 0 19 4.444 449.444 720.000
2 2 3 0 20 4.216 468.024 718.000
2 2 3 0 21 4.236 462.574 718.000
2 2 3 0 22 4.085 456.162 713.000
2 2 3 0 23 4.464 446.613 715.000
2 2 3 0 24 4.382 453.316 714.000
2 2 3 0 25 4.067 460.003 717.000
2 2 3 0 26 4.406 458.957 722.000
2 2 3 0 27 4.009 456.241 722.000
2 2 3 0 28 4.450 453.313 723.000
2 2 3 0 29 3.542 462.382 722.000
2 2 3 0 30 3.404 464.193 704.000
2 2 3 0 31 4.325 444.200 704.000
2 2 3 0 32 4.400 439.091 709.000
2 2 3 0 33 4.380 443.592 709.000
2 2 3 0 34 4.415 444.673 711.000
2 2 3 0 35 4.125 447.098 712.000
2 2 3 0 36 4.355 460.368 722.000
2 2 3 0 37 4.317 464.164 724.000
2 2 3 0 38 4.329 448.858 711.000
2 2 3 0 39 4.174 445.957 712.000
2 2 3 0 40 3.880 453.353 711.000
2 2 3 0 41 4.145 441.081 711.000
2 2 3 0 42 4.135 452.934 717.000
2 2 3 0 43 4.033 445.967 716.000
2 2 3 0 44 4.085 444.244 707.000
2 2 3 0 45 3.936 450.171 709.000
2 2 3 0 46 4.043 449.734 711.000
2 2 3 0 47 3.983 443.210 710.000
2 2 3 0 48 3.854 456.876 718.000
2 2 3 0 49 3.878 448.022 719.000
2 2 3 0 50 3.969 445.432 715.000
2 2 3 0 51 3.635 454.813 716.000
2 2 3 1 0 4.618 424.527 710.000
2 2 3 1 1 4.701 426.940 709.000
2 2 3 1 2 4.328 433.849 708.000
2 2 3 1 3 4.521 431.992 709.000
2 2 3 1 4 4.375 425.219 700.000
2 2 3 1 5 4.187 435.245 700.000
2 2 3 1 6 4.533 450.846 720.000
2 2 3 1 7 4.470 453.625 721.000
2 2 3 1 8 4.553 428.436 704.000
2 2 3 1 9 4.641 418.044 705.000
2 2 3 1 10 4.516 459.778 728.000
2 2 3 1 11 4.554 460.066 729.000
2 2 3 1 12 4.604 441.109 716.000
2 2 3 1 13 4.437 457.722 719.000
2 2 3 1 14 4.532 441.236 713.000
2 2 3 1 15 4.488 440.607 712.000
2 2 3 1 16 4.477 444.255 716.000
2 2 3 1 17 4.444 444.354 716.000
2 2 3 1 18 4.592 441.253 716.000
2 2 3 1 19 4.594 439.396 717.000
2 2 3 1 20 4.041 459.699 714.000
2 2 3 1 21 4.490 454.514 717.000
2 2 3 1 22 4.482 437.647 712.000
2 2 3 1 23 4.578 439.037 713.000
2 2 3 1 24 4.204 459.999 712.000
2 2 3 1 25 4.310 452.790 714.000
2 2 3 1 26 4.609 445.513 720.000
2 2 3 1 27 4.228 450.324 718.000
2 2 3 1 28 4.494 447.131 721.000
2 2 3 1 29 4.477 454.084 721.000
2 2 3 1 30 4.317 441.818 702.000
2 2 3 1 31 4.432 441.581 702.000
2 2 3 1 32 4.523 435.170 707.000
2 2 3 1 33 4.115 443.619 707.000
2 2 3 1 34 4.431 439.911 710.000
2 2 3 1 35 4.502 437.228 710.000
2 2 3 1 36 4.442 451.600 719.000
2 2 3 1 37 4.374 459.804 722.000
2 2 3 1 38 4.362 446.467 710.000
2 2 3 1 39 4.405 441.520 713.000
2 2 3 1 40 4.393 439.261 708.000
2 2 3 1 41 4.066 439.176 708.000
2 2 3 1 42 4.201 446.544 715.000
2 2 3 1 43 4.200 449.915 715.000
2 2 3 1 44 4.352 441.364 706.000
2 2 3 1 45 4.182 433.380 706.000
2 2 3 1 46 3.855 453.129 709.000
2 2 3 1 47 4.049 447.585 709.000
2 2 3 1 48 4.046 439.656 715.000
2 2 3 1 49 4.046 444.623 718.000
2 2 3 1 50 3.825 445.291 714.000
2 2 3 1 51 3.660 444.992 714.000
2 2 3 2 0 4.284 432.573 707.000
2 2 3 2 1 4.725 426.998 708.000
2 2 3 2 2 4.688 430.488 707.000
2 2 3 2 3 4.557 433.690 708.000
2 2 3 2 4 4.509 429.963 698.000
2 2 3 2 5 4.527 428.473 699.000
2 2 3 2 6 4.464 454.611 718.000
2 2 3 2 7 4.529 449.019 719.000
2 2 3 2 8 4.598 418.479 701.000
2 2 3 2 9 4.586 420.928 703.000
2 2 3 2 10 4.654 458.077 725.000
2 2 3 2 11 4.468 459.392 728.000
2 2 3 2 12 4.447 447.414 714.000
2 2 3 2 13 4.456 451.086 717.000
2 2 3 2 14 4.611 430.033 710.000
2 2 3 2 15 4.642 434.166 711.000
2 2 3 2 16 4.474 450.711 715.000
2 2 3 2 17 4.459 449.124 715.000
2 2 3 2 18 4.435 446.357 715.000
2 2 3 2 19 4.393 452.244 716.000
2 2 3 2 20 4.302 457.321 714.000
2 2 3 2 21 4.369 455.085 715.000
2 2 3 2 22 4.369 448.179 710.000
2 2 3 2 23 4.472 443.146 711.000
2 2 3 2 24 4.255 452.444 710.000
2 2 3 2 25 4.446 450.570 713.000
2 2 3 2 26 4.445 444.967 717.000
2 2 3 2 27 4.469 442.807 717.000
2 2 3 2 28 4.498 450.915 718.000
2 2 3 2 29 4.404 448.730 719.000
2 2 3 2 30 4.348 444.931 702.000
2 2 3 2 31 4.323 437.907 701.000
2 2 3 2 32 4.412 439.328 705.000
2 2 3 2 33 4.381 442.918 706.000
2 2 3 2 34 4.353 443.711 707.000
2 2 3 2 35 4.397 446.390 709.000
2 2 3 2 36 4.285 459.686 717.000
2 2 3 2 37 4.362 455.387 720.000
2 2 3 2 38 4.360 445.352 709.000
2 2 3 2 39 4.383 448.006 709.000
2 2 3 2 40 4.170 440.647 706.000
2 2 3 2 41 4.252 435.410 706.000
2 2 3 2 42 4.161 449.985 713.000
2 2 3 2 43 4.185 442.991 713.000
2 2 3 2 44 3.859 448.615 705.000
2 2 3 2 45 4.125 439.082 705.000
2 2 3 2 46 4.083 445.445 708.000
2 2 3 2 47 3.953 438.809 707.000
2 2 3 2 48 4.034 437.980 714.000
2 2 3 2 49 4.066 442.160 716.000
2 2 3 2 50 3.903 447.479 712.000
2 2 3 2 51 3.642 452.713 713.000
2 2 3 3 0 4.279 435.986 711.000
2 2 3 3 1 4.655 429.075 712.000
2 2 3 3 2 4.679 427.716 710.000
2 2 3 3 3 4.536 430.807 712.000
2 2 3 3 4 4.547 430.717 702.000
2 2 3 3 5 4.602 424.830 703.000
2 2 3 3 6 4.543 449.151 723.000
2 2 3 3 7 4.594 451.384 724.000
2 2 3 3 8 4.685 421.604 706.000
2 2 3 3 9 4.579 432.454 708.000
2 2 3 3 10 4.484 468.715 731.000
2 2 3 3 11 4.581 457.544 731.000
2 2 3 3 12 4.435 458.404 719.000
2 2 3 3 13 4.501 452.885 722.000
