st pl ch r c slope pedestal max
0 3 3 0 0 2.670 427.096 674.000
0 3 3 0 1 2.917 424.867 676.000
0 3 3 0 2 3.260 428.830 692.000
0 3 3 0 3 3.002 432.454 689.000
0 3 3 0 4 3.111 441.090 700.000
0 3 3 0 5 2.944 442.233 700.000
0 3 3 0 6 2.944 438.325 686.000
0 3 3 0 7 3.377 424.822 685.000
0 3 3 0 8 2.841 450.733 689.000
0 3 3 0 9 2.848 449.338 690.000
0 3 3 0 10 2.936 450.194 691.000
0 3 3 0 11 2.906 445.184 691.000
0 3 3 0 12 2.841 468.570 706.000
0 3 3 0 13 3.111 472.717 709.000
0 3 3 0 14 3.052 451.074 697.000
0 3 3 0 15 2.933 446.766 695.000
0 3 3 0 16 2.960 450.312 697.000
0 3 3 0 17 3.910 423.612 697.000
0 3 3 0 18 2.971 437.587 686.000
0 3 3 0 19 2.992 430.906 685.000
0 3 3 0 20 2.784 467.722 700.000
0 3 3 0 21 3.044 456.752 700.000
0 3 3 0 22 3.516 432.116 690.000
0 3 3 0 23 3.154 439.239 691.000
0 3 3 0 24 4.213 411.587 695.000
0 3 3 0 25 2.871 453.593 695.000
0 3 3 0 26 2.999 455.032 695.000
0 3 3 0 27 3.115 446.145 693.000
0 3 3 0 28 2.817 460.384 693.000
0 3 3 0 29 2.880 449.491 691.000
0 3 3 0 30 3.303 436.432 692.000
0 3 3 0 31 3.129 443.964 691.000
0 3 3 0 32 2.878 457.145 694.000
0 3 3 0 33 2.806 459.824 694.000
0 3 3 0 34 3.695 425.365 696.000
0 3 3 0 35 2.939 459.633 695.000
0 3 3 0 36 3.866 427.130 700.000
0 3 3 0 37 3.156 450.102 702.000
0 3 3 0 38 3.137 438.055 693.000
0 3 3 0 39 3.093 444.035 694.000
0 3 3 0 40 2.931 451.278 694.000
0 3 3 0 41 2.914 448.168 693.000
0 3 3 0 42 2.810 469.319 703.000
0 3 3 0 43 4.030 427.513 704.000
0 3 3 0 44 2.834 451.959 687.000
0 3 3 0 45 3.181 434.587 686.000
0 3 3 0 46 2.888 439.964 680.000
0 3 3 0 47 2.847 440.862 679.000
0 3 3 0 48 3.823 424.851 695.000
0 3 3 0 49 2.928 449.177 695.000
0 3 3 0 50 2.941 462.995 696.000
0 3 3 0 51 2.545 461.928 695.000
0 3 3 1 0 2.635 419.721 673.000
0 3 3 1 1 3.017 422.431 675.000
0 3 3 1 2 2.954 436.449 690.000
0 3 3 1 3 2.865 436.324 689.000
0 3 3 1 4 2.915 444.059 699.000
0 3 3 1 5 2.907 443.737 698.000
0 3 3 1 6 2.850 441.878 685.000
0 3 3 1 7 2.917 437.027 685.000
0 3 3 1 8 3.975 416.210 690.000
0 3 3 1 9 2.929 444.332 689.000
0 3 3 1 10 3.079 445.495 690.000
0 3 3 1 11 3.059 444.471 691.000
0 3 3 1 12 3.856 447.116 707.000
0 3 3 1 13 2.829 473.090 708.000
0 3 3 1 14 2.973 459.479 696.000
0 3 3 1 15 2.871 455.840 696.000
0 3 3 1 16 2.809 464.096 697.000
0 3 3 1 17 2.910 452.456 696.000
0 3 3 1 18 2.993 436.775 685.000
0 3 3 1 19 3.086 436.945 685.000
0 3 3 1 20 3.216 441.295 699.000
0 3 3 1 21 2.911 459.214 699.000
0 3 3 1 22 2.880 450.405 691.000
0 3 3 1 23 3.047 433.591 690.000
0 3 3 1 24 2.875 453.490 695.000
0 3 3 1 25 4.166 410.763 695.000
0 3 3 1 26 3.605 432.312 694.000
0 3 3 1 27 2.909 443.818 692.000
