st pl ch r c slope pedestal max
2 2 7 0 0 3.556 462.046 718.000
2 2 7 0 1 3.814 463.176 719.000
2 2 7 0 2 4.070 459.244 721.000
2 2 7 0 3 3.973 459.632 724.000
2 2 7 0 4 4.202 439.011 713.000
2 2 7 0 5 4.269 437.622 717.000
2 2 7 0 6 4.025 468.851 726.000
2 2 7 0 7 3.910 470.789 724.000
2 2 7 0 8 4.072 455.223 718.000
2 2 7 0 9 3.863 463.275 721.000
2 2 7 0 10 4.014 465.814 722.000
2 2 7 0 11 3.875 465.254 722.000
2 2 7 0 12 3.991 460.603 717.000
2 2 7 0 13 4.296 453.285 718.000
2 2 7 0 14 4.156 471.968 727.000
2 2 7 0 15 4.361 458.788 726.000
2 2 7 0 16 4.165 447.173 701.000
2 2 7 0 17 4.374 437.232 699.000
2 2 7 0 18 4.365 458.735 720.000
2 2 7 0 19 3.789 471.730 721.000
2 2 7 0 20 3.881 473.602 719.000
2 2 7 0 21 3.889 465.672 718.000
2 2 7 0 22 3.636 492.447 734.000
2 2 7 0 23 3.722 490.593 735.000
2 2 7 0 24 3.733 484.280 737.000
2 2 7 0 25 3.669 492.145 739.000
2 2 7 0 26 3.843 467.994 726.000
2 2 7 0 27 4.000 468.144 725.000
2 2 7 0 28 4.174 483.453 730.000
2 2 7 0 29 4.137 477.647 729.000
2 2 7 0 30 4.291 456.603 723.000
2 2 7 0 31 4.334 460.464 723.000
2 2 7 0 32 4.271 459.542 717.000
2 2 7 0 33 4.315 456.334 717.000
2 2 7 0 34 4.298 450.614 708.000
2 2 7 0 35 3.937 463.560 712.000
2 2 7 0 36 4.288 459.448 716.000
2 2 7 0 37 4.272 460.671 715.000
2 2 7 0 38 4.333 447.291 716.000
2 2 7 0 39 4.393 452.680 711.000
2 2 7 0 40 4.364 466.159 719.000
2 2 7 0 41 4.180 467.786 719.000
2 2 7 0 42 3.771 469.661 723.000
2 2 7 0 43 3.811 468.062 724.000
2 2 7 0 44 4.143 456.129 709.000
2 2 7 0 45 4.080 457.238 710.000
2 2 7 0 46 3.915 459.751 714.000
2 2 7 0 47 3.761 462.645 716.000
2 2 7 0 48 3.766 470.451 720.000
2 2 7 0 49 3.965 466.643 721.000
2 2 7 0 50 4.071 455.824 710.000
2 2 7 0 51 3.672 456.423 710.000
2 2 7 1 0 3.717 451.405 713.000
2 2 7 1 1 4.335 444.141 712.000
2 2 7 1 2 4.117 455.277 718.000
2 2 7 1 3 4.300 445.108 721.000
2 2 7 1 4 4.155 444.263 709.000
2 2 7 1 5 4.346 434.721 715.000
2 2 7 1 6 4.220 460.519 718.000
2 2 7 1 7 4.108 458.427 719.000
2 2 7 1 8 4.103 459.334 720.000
2 2 7 1 9 4.333 452.303 716.000
2 2 7 1 10 4.287 457.439 713.000
2 2 7 1 11 4.166 459.596 718.000
2 2 7 1 12 4.164 460.285 712.000
2 2 7 1 13 4.390 457.104 718.000
2 2 7 1 14 4.385 464.379 728.000
2 2 7 1 15 4.388 461.276 728.000
2 2 7 1 16 4.294 444.524 699.000
2 2 7 1 17 4.377 438.533 699.000
2 2 7 1 18 4.416 452.466 716.000
2 2 7 1 19 4.050 461.976 718.000
2 2 7 1 20 4.221 461.781 715.000
2 2 7 1 21 4.008 459.432 716.000
2 2 7 1 22 3.949 482.464 733.000
2 2 7 1 23 3.939 482.480 734.000
2 2 7 1 24 4.178 481.412 734.000
2 2 7 1 25 3.886 489.437 735.000
2 2 7 1 26 4.246 463.031 725.000
