st pl ch r c slope pedestal max
0 1 3 0 0 3.511 444.901 694.000
0 1 3 0 1 3.683 449.124 696.000
0 1 3 0 2 3.002 497.977 709.000
0 1 3 0 3 2.804 508.017 708.000
0 1 3 0 4 3.828 433.456 691.000
0 1 3 0 5 3.544 451.820 691.000
0 1 3 0 6 3.364 474.047 705.000
0 1 3 0 7 3.151 482.531 704.000
0 1 3 0 8 3.721 455.398 698.000
0 1 3 0 9 3.114 485.087 698.000
0 1 3 0 10 3.055 480.036 695.000
0 1 3 0 11 3.261 468.379 695.000
0 1 3 0 12 3.267 471.117 690.000
0 1 3 0 13 3.498 451.457 690.000
0 1 3 0 14 3.339 482.722 699.000
0 1 3 0 15 2.999 487.980 698.000
0 1 3 0 16 2.968 492.739 694.000
0 1 3 0 17 4.364 419.529 694.000
0 1 3 0 18 3.517 466.277 710.000
0 1 3 0 19 3.282 482.036 707.000
0 1 3 0 20 3.507 463.053 695.000
0 1 3 0 21 3.701 454.136 695.000
0 1 3 0 22 3.020 490.321 693.000
0 1 3 0 23 3.067 480.379 694.000
0 1 3 0 24 3.223 477.489 691.000
0 1 3 0 25 3.224 484.416 692.000
0 1 3 0 26 3.477 473.204 701.000
0 1 3 0 27 3.320 484.183 701.000
0 1 3 0 28 2.924 502.640 706.000
0 1 3 0 29 3.622 479.625 705.000
0 1 3 0 30 4.257 428.431 691.000
0 1 3 0 31 3.341 463.849 692.000
0 1 3 0 32 3.185 474.676 687.000
0 1 3 0 33 3.374 468.288 687.000
0 1 3 0 34 3.663 459.852 691.000
0 1 3 0 35 2.765 507.864 691.000
0 1 3 0 36 2.892 496.166 696.000
0 1 3 0 37 3.160 484.457 696.000
0 1 3 0 38 3.294 468.742 682.000
0 1 3 0 39 3.217 463.493 680.000
0 1 3 0 40 3.249 473.026 686.000
0 1 3 0 41 2.988 473.921 685.000
0 1 3 0 42 2.870 482.920 679.000
0 1 3 0 43 3.484 447.774 679.000
0 1 3 0 44 3.362 460.140 686.000
0 1 3 0 45 3.062 478.282 686.000
0 1 3 0 46 3.198 464.560 681.000
0 1 3 0 47 3.579 442.858 680.000
0 1 3 0 48 2.927 486.413 683.000
0 1 3 0 49 2.919 479.249 685.000
0 1 3 0 50 3.187 470.776 690.000
0 1 3 0 51 2.536 502.902 689.000
0 1 3 1 0 3.602 448.945 694.000
0 1 3 1 1 3.799 442.818 695.000
0 1 3 1 2 3.404 477.728 707.000
0 1 3 1 3 4.184 444.636 707.000
0 1 3 1 4 4.140 429.827 691.000
0 1 3 1 5 3.482 451.243 690.000
0 1 3 1 6 3.412 465.537 704.000
0 1 3 1 7 3.767 450.640 703.000
0 1 3 1 8 3.059 479.851 697.000
0 1 3 1 9 3.468 464.242 697.000
0 1 3 1 10 3.352 461.883 694.000
0 1 3 1 11 3.246 470.178 694.000
0 1 3 1 12 3.364 457.175 688.000
0 1 3 1 13 3.735 450.729 690.000
0 1 3 1 14 3.949 455.747 698.000
0 1 3 1 15 3.328 474.109 698.000
0 1 3 1 16 4.262 423.270 692.000
0 1 3 1 17 4.114 432.822 692.000
0 1 3 1 18 3.473 466.673 707.000
0 1 3 1 19 3.632 466.628 707.000
0 1 3 1 20 3.703 448.703 694.000
0 1 3 1 21 3.095 476.800 693.000
0 1 3 1 22 3.619 455.927 692.000
0 1 3 1 23 3.534 452.367 692.000
0 1 3 1 24 3.097 484.534 691.000
0 1 3 1 25 3.173 480.352 692.000
0 1 3 1 26 3.742 459.422 700.000
0 1 3 1 27 4.456 424.929 699.000
0 1 3 1 28 3.297 483.393 704.000
0 1 3 1 29 4.038 448.298 704.000
0 1 3 1 30 3.777 460.076 692.000
0 1 3 1 31 3.183 476.616 690.000
0 1 3 1 32 3.342 470.729 687.000
0 1 3 1 33 3.650 445.477 686.000
0 1 3 1 34 2.816 494.614 690.000
0 1 3 1 35 3.403 472.146 691.000
0 1 3 1 36 3.249 473.601 695.000
0 1 3 1 37 3.038 488.775 696.000
0 1 3 1 38 3.538 447.916 681.000
0 1 3 1 39 3.663 445.248 680.000
0 1 3 1 40 4.321 420.815 685.000
0 1 3 1 41 3.370 454.376 684.000
0 1 3 1 42 3.993 430.372 680.000
0 1 3 1 43 3.936 430.005 677.000
0 1 3 1 44 3.288 462.286 684.000
0 1 3 1 45 3.504 453.799 686.000
0 1 3 1 46 3.475 450.567 682.000
0 1 3 1 47 2.983 466.254 680.000
0 1 3 1 48 3.447 455.422 682.000
0 1 3 1 49 3.204 464.141 684.000
0 1 3 1 50 3.142 470.537 689.000
0 1 3 1 51 2.706 490.840 690.000
0 1 3 2 0 2.905 477.473 694.000
0 1 3 2 1 3.837 434.708 694.000
0 1 3 2 2 3.633 466.732 706.000
0 1 3 2 3 3.448 474.905 707.000
0 1 3 2 4 3.550 446.696 690.000
0 1 3 2 5 3.642 441.525 689.000
0 1 3 2 6 3.816 455.840 703.000
0 1 3 2 7 3.565 461.817 703.000
0 1 3 2 8 3.647 449.847 696.000
0 1 3 2 9 3.913 432.856 698.000
0 1 3 2 10 3.618 450.232 693.000
0 1 3 2 11 3.367 460.874 694.000
0 1 3 2 12 2.906 480.524 687.000
0 1 3 2 13 2.857 484.130 689.000
0 1 3 2 14 3.481 469.685 698.000
0 1 3 2 15 3.609 458.941 697.000
0 1 3 2 16 3.455 461.246 692.000
0 1 3 2 17 3.835 437.465 692.000
0 1 3 2 18 3.705 456.587 707.000
0 1 3 2 19 3.864 453.172 706.000
0 1 3 2 20 3.531 453.970 692.000
0 1 3 2 21 3.543 455.209 694.000
0 1 3 2 22 4.157 432.393 691.000
0 1 3 2 23 3.537 455.373 692.000
0 1 3 2 24 3.384 468.849 689.000
0 1 3 2 25 3.574 460.475 690.000
0 1 3 2 26 3.725 458.277 700.000
0 1 3 2 27 3.628 456.124 699.000
0 1 3 2 28 3.659 462.567 705.000
0 1 3 2 29 3.307 479.557 704.000
0 1 3 2 30 3.789 439.528 690.000
0 1 3 2 31 3.416 464.682 690.000
0 1 3 2 32 3.679 448.528 685.000
0 1 3 2 33 3.263 470.208 686.000
0 1 3 2 34 3.565 457.248 689.000
0 1 3 2 35 3.977 441.547 690.000
0 1 3 2 36 3.521 459.490 693.000
0 1 3 2 37 3.169 477.338 695.000
0 1 3 2 38 3.712 437.528 681.000
0 1 3 2 39 3.663 442.284 679.000
0 1 3 2 40 3.549 447.392 684.000
0 1 3 2 41 3.463 455.689 684.000
0 1 3 2 42 3.308 454.188 678.000
0 1 3 2 43 3.606 440.429 678.000
0 1 3 2 44 3.491 453.353 685.000
0 1 3 2 45 3.669 444.951 685.000
0 1 3 2 46 3.307 456.737 680.000
0 1 3 2 47 3.414 447.152 679.000
0 1 3 2 48 3.592 441.607 683.000
0 1 3 2 49 3.477 447.123 683.000
0 1 3 2 50 3.227 467.418 689.000
0 1 3 2 51 2.370 504.205 689.000
0 1 3 3 0 3.143 466.256 695.000
0 1 3 3 1 3.693 452.208 696.000
0 1 3 3 2 3.678 464.404 708.000
0 1 3 3 3 3.950 453.146 709.000
0 1 3 3 4 2.992 480.289 692.000
0 1 3 3 5 3.619 444.760 692.000
0 1 3 3 6 3.597 458.107 705.000
0 1 3 3 7 3.236 472.584 705.000
0 1 3 3 8 2.830 493.494 698.000
0 1 3 3 9 3.811 445.933 699.000
0 1 3 3 10 3.521 459.426 696.000
0 1 3 3 11 3.018 487.614 696.000
0 1 3 3 12 3.783 435.126 690.000
0 1 3 3 13 3.284 465.471 692.000
0 1 3 3 14 3.398 477.029 700.000
0 1 3 3 15 3.174 488.723 699.000
0 1 3 3 16 3.784 445.439 693.000
0 1 3 3 17 2.969 486.542 694.000
0 1 3 3 18 3.676 458.524 709.000
0 1 3 3 19 3.559 467.084 707.000
0 1 3 3 20 3.142 471.092 694.000
0 1 3 3 21 3.152 477.271 697.000
0 1 3 3 22 3.645 454.636 693.000
0 1 3 3 23 3.417 466.791 694.000
0 1 3 3 24 2.962 496.919 692.000
0 1 3 3 25 3.231 479.347 693.000
0 1 3 3 26 3.200 481.629 701.000
0 1 3 3 27 3.620 463.325 701.000
0 1 3 3 28 3.435 482.349 706.000
0 1 3 3 29 3.815 462.327 706.000
0 1 3 3 30 2.834 493.302 692.000
0 1 3 3 31 3.208 473.959 692.000
0 1 3 3 32 3.462 459.067 688.000
0 1 3 3 33 2.940 479.667 688.000
0 1 3 3 34 2.927 491.686 691.000
0 1 3 3 35 3.452 468.088 692.000
0 1 3 3 36 3.299 479.232 696.000
0 1 3 3 37 2.852 503.347 698.000
0 1 3 3 38 3.383 452.663 682.000
0 1 3 3 39 3.064 470.937 681.000
0 1 3 3 40 3.285 473.288 686.000
0 1 3 3 41 3.396 462.627 686.000
0 1 3 3 42 3.680 444.218 680.000
0 1 3 3 43 2.719 489.713 679.000
0 1 3 3 44 3.410 457.814 687.000
0 1 3 3 45 3.397 459.411 687.000
0 1 3 3 46 3.113 463.682 682.000
0 1 3 3 47 2.994 476.707 681.000
0 1 3 3 48 3.415 459.683 684.000
0 1 3 3 49 3.220 472.046 685.000
0 1 3 3 50 2.964 482.004 689.000
0 1 3 3 51 3.321 449.510 690.000
0 1 3 4 0 3.293 462.782 695.000
0 1 3 4 1 3.521 457.673 695.000
0 1 3 4 2 3.820 457.585 707.000
0 1 3 4 3 3.348 478.188 708.000
0 1 3 4 4 3.333 469.940 692.000
0 1 3 4 5 3.386 456.001 691.000
0 1 3 4 6 3.845 442.505 704.000
0 1 3 4 7 3.721 452.185 704.000
0 1 3 4 8 3.705 455.644 697.000
0 1 3 4 9 3.416 471.376 699.000
0 1 3 4 10 3.671 448.691 695.000
0 1 3 4 11 3.450 469.653 696.000
0 1 3 4 12 3.612 447.621 689.000
0 1 3 4 13 3.575 451.285 690.000
0 1 3 4 14 3.399 468.862 698.000
0 1 3 4 15 3.873 446.275 698.000
0 1 3 4 16 3.715 449.912 693.000
0 1 3 4 17 3.313 476.668 693.000
0 1 3 4 18 3.481 469.034 708.000
0 1 3 4 19 3.959 451.725 708.000
0 1 3 4 20 3.542 458.226 695.000
0 1 3 4 21 3.706 448.213 695.000
0 1 3 4 22 3.501 455.645 693.000
0 1 3 4 23 4.103 432.747 693.000
0 1 3 4 24 3.398 473.129 691.000
0 1 3 4 25 3.696 467.517 692.000
0 1 3 4 26 3.486 469.065 700.000
0 1 3 4 27 3.388 472.513 701.000
0 1 3 4 28 3.685 466.408 705.000
