st pl ch r c slope pedestal max
2 2 6 0 0 3.896 471.497 720.000
2 2 6 0 1 4.381 475.111 719.000
2 2 6 0 2 4.370 477.342 729.000
2 2 6 0 3 4.379 469.099 727.000
2 2 6 0 4 4.241 478.998 727.000
2 2 6 0 5 4.448 468.414 733.000
2 2 6 0 6 4.307 468.268 721.000
2 2 6 0 7 4.240 470.590 718.000
2 2 6 0 8 3.997 482.422 731.000
2 2 6 0 9 3.875 483.941 728.000
2 2 6 0 10 4.021 480.087 733.000
2 2 6 0 11 3.932 490.348 735.000
2 2 6 0 12 4.265 487.114 741.000
2 2 6 0 13 4.165 483.646 739.000
2 2 6 0 14 4.007 467.214 721.000
2 2 6 0 15 3.774 466.976 720.000
2 2 6 0 16 3.711 471.328 720.000
2 2 6 0 17 3.974 465.495 719.000
2 2 6 0 18 3.827 485.146 730.000
2 2 6 0 19 3.575 492.962 732.000
2 2 6 0 20 3.792 480.343 731.000
2 2 6 0 21 3.536 480.949 730.000
2 2 6 0 22 3.353 472.119 720.000
2 2 6 0 23 3.216 481.138 721.000
2 2 6 0 24 3.821 473.037 724.000
2 2 6 0 25 4.033 486.887 727.000
2 2 6 0 26 3.719 487.529 720.000
2 2 6 0 27 3.588 478.304 719.000
2 2 6 0 28 3.636 478.876 717.000
2 2 6 0 29 4.060 471.354 715.000
2 2 6 0 30 3.783 493.062 731.000
2 2 6 0 31 3.572 488.133 730.000
2 2 6 0 32 3.509 481.204 716.000
2 2 6 0 33 3.517 483.688 718.000
2 2 6 0 34 3.265 490.222 720.000
2 2 6 0 35 3.500 486.760 720.000
2 2 6 0 36 3.408 492.183 727.000
2 2 6 0 37 3.517 486.659 728.000
2 2 6 0 38 3.591 490.323 729.000
2 2 6 0 39 3.630 489.729 729.000
2 2 6 0 40 3.612 490.740 737.000
2 2 6 0 41 3.251 489.741 733.000
2 2 6 0 42 3.216 488.919 724.000
2 2 6 0 43 3.557 487.663 727.000
2 2 6 0 44 3.680 483.411 726.000
2 2 6 0 45 3.745 479.883 729.000
2 2 6 0 46 3.905 470.412 716.000
2 2 6 0 47 4.124 460.815 716.000
2 2 6 0 48 4.100 469.882 721.000
2 2 6 0 49 3.917 476.375 723.000
2 2 6 0 50 3.728 476.637 719.000
2 2 6 0 51 3.590 464.839 718.000
2 2 6 1 0 4.157 468.664 720.000
2 2 6 1 1 4.389 465.610 721.000
2 2 6 1 2 4.130 474.069 725.000
2 2 6 1 3 3.921 481.631 728.000
2 2 6 1 4 4.329 473.341 726.000
2 2 6 1 5 4.497 457.238 723.000
2 2 6 1 6 4.224 470.608 720.000
2 2 6 1 7 4.189 464.107 716.000
2 2 6 1 8 3.823 484.920 726.000
2 2 6 1 9 4.225 470.940 726.000
2 2 6 1 10 4.161 478.684 731.000
2 2 6 1 11 3.916 486.821 732.000
2 2 6 1 12 4.123 494.532 735.000
2 2 6 1 13 4.107 491.250 737.000
2 2 6 1 14 4.187 464.973 719.000
2 2 6 1 15 3.812 468.255 719.000
2 2 6 1 16 3.762 469.657 719.000
2 2 6 1 17 4.128 467.363 720.000
2 2 6 1 18 3.814 489.764 730.000
2 2 6 1 19 3.667 500.158 731.000
