st pl ch r c slope pedestal max
2 0 2 0 0 2.026 509.243 699.000
2 0 2 0 1 0.000 0.000 0.000
2 0 2 0 2 0.000 0.000 0.000
2 0 2 0 3 0.000 0.000 0.000
2 0 2 0 4 0.000 0.000 0.000
2 0 2 0 5 0.000 0.000 0.000
2 0 2 0 6 0.000 0.000 0.000
2 0 2 0 7 0.000 0.000 0.000
2 0 2 0 8 0.000 0.000 0.000
2 0 2 0 9 0.000 0.000 0.000
2 0 2 0 10 0.000 0.000 0.000
2 0 2 0 11 0.000 0.000 0.000
2 0 2 0 12 0.000 0.000 0.000
2 0 2 0 13 0.000 0.000 0.000
2 0 2 0 14 0.000 0.000 0.000
2 0 2 0 15 0.000 0.000 0.000
2 0 2 0 16 0.000 0.000 0.000
2 0 2 0 17 0.000 0.000 0.000
2 0 2 0 18 0.000 0.000 0.000
2 0 2 0 19 0.000 0.000 0.000
2 0 2 0 20 0.000 0.000 0.000
2 0 2 0 21 0.000 0.000 0.000
2 0 2 0 22 0.000 0.000 0.000
2 0 2 0 23 0.000 0.000 0.000
2 0 2 0 24 0.000 0.000 0.000
2 0 2 0 25 0.000 0.000 0.000
2 0 2 0 26 0.000 0.000 0.000
2 0 2 0 27 0.000 0.000 0.000
2 0 2 0 28 0.000 0.000 0.000
2 0 2 0 29 0.000 0.000 0.000
2 0 2 0 30 0.000 0.000 0.000
2 0 2 0 31 0.000 0.000 0.000
2 0 2 0 32 0.000 0.000 0.000
2 0 2 0 33 0.000 0.000 0.000
2 0 2 0 34 0.000 0.000 0.000
2 0 2 0 35 0.000 0.000 0.000
2 0 2 0 36 0.000 0.000 0.000
2 0 2 0 37 0.000 0.000 0.000
2 0 2 0 38 0.000 0.000 0.000
2 0 2 0 39 0.367 528.216 579.000
2 0 2 0 40 1.501 507.304 659.000
2 0 2 0 41 0.845 523.458 628.000
2 0 2 0 42 0.608 543.131 625.000
2 0 2 0 43 1.884 517.358 681.000
2 0 2 0 44 1.925 511.289 679.000
2 0 2 0 45 1.434 523.500 672.000
2 0 2 0 46 0.000 0.000 0.000
2 0 2 0 47 0.000 0.000 0.000
2 0 2 0 48 0.000 0.000 0.000
2 0 2 0 49 1.589 514.406 665.000
2 0 2 0 50 1.482 510.161 660.000
2 0 2 0 51 0.623 494.352 574.000
2 0 2 1 0 3.444 470.661 700.000
2 0 2 1 1 3.488 454.920 696.000
2 0 2 1 2 2.505 475.474 692.000
2 0 2 1 3 2.149 489.553 689.000
2 0 2 1 4 1.994 503.933 692.000
2 0 2 1 5 0.789 527.075 625.000
2 0 2 1 6 0.889 503.059 611.000
2 0 2 1 7 0.829 498.707 600.000
2 0 2 1 8 0.630 496.616 577.000
2 0 2 1 9 0.969 488.862 606.000
2 0 2 1 10 1.079 496.670 622.000
2 0 2 1 11 1.156 493.619 627.000
2 0 2 1 12 1.241 489.366 634.000
2 0 2 1 13 1.359 492.396 642.000
2 0 2 1 14 0.837 493.290 593.000
2 0 2 1 15 0.300 507.056 547.000
2 0 2 1 16 0.994 492.829 612.000
2 0 2 1 17 0.583 506.758 581.000
2 0 2 1 18 1.322 505.305 656.000
2 0 2 1 19 1.508 495.613 659.000
2 0 2 1 20 1.594 497.747 661.000
2 0 2 1 21 1.659 487.736 658.000
2 0 2 1 22 1.659 497.575 666.000
2 0 2 1 23 1.503 488.693 650.000
2 0 2 1 24 1.253 488.360 633.000
2 0 2 1 25 1.512 484.516 649.000
2 0 2 1 26 1.446 511.174 666.000
2 0 2 1 27 1.540 509.188 670.000
2 0 2 1 28 1.612 507.185 669.000
2 0 2 1 29 1.627 494.921 662.000
2 0 2 1 30 1.648 514.885 682.000
2 0 2 1 31 2.194 494.538 689.000
2 0 2 1 32 1.728 489.451 662.000
2 0 2 1 33 1.783 495.211 667.000
2 0 2 1 34 2.078 496.328 676.000
2 0 2 1 35 2.231 490.923 680.000
2 0 2 1 36 2.372 495.033 684.000
2 0 2 1 37 2.542 487.873 685.000
2 0 2 1 38 2.350 481.937 669.000
2 0 2 1 39 2.642 483.361 672.000
2 0 2 1 40 2.900 480.640 682.000
