st pl ch r c slope pedestal max
2 1 5 0 0 2.684 550.513 744.000
2 1 5 0 1 2.937 523.371 735.000
2 1 5 0 2 2.552 533.566 737.000
2 1 5 0 3 2.971 522.576 740.000
2 1 5 0 4 2.487 529.150 728.000
2 1 5 0 5 3.201 507.818 734.000
2 1 5 0 6 3.084 521.180 739.000
2 1 5 0 7 3.268 517.128 741.000
2 1 5 0 8 3.391 497.241 724.000
2 1 5 0 9 3.577 505.198 728.000
2 1 5 0 10 3.322 526.856 742.000
2 1 5 0 11 3.480 520.844 742.000
2 1 5 0 12 3.571 512.675 737.000
2 1 5 0 13 3.399 516.357 739.000
2 1 5 0 14 3.295 534.785 752.000
2 1 5 0 15 3.567 528.249 753.000
2 1 5 0 16 3.957 491.203 730.000
2 1 5 0 17 3.904 495.571 731.000
2 1 5 0 18 3.492 533.060 753.000
2 1 5 0 19 3.310 530.963 751.000
2 1 5 0 20 3.209 524.712 738.000
2 1 5 0 21 3.295 511.294 734.000
2 1 5 0 22 3.045 519.276 726.000
2 1 5 0 23 2.864 519.333 719.000
2 1 5 0 24 3.041 536.893 745.000
2 1 5 0 25 3.136 543.417 746.000
2 1 5 0 26 3.230 537.883 748.000
2 1 5 0 27 3.764 525.163 748.000
2 1 5 0 28 3.697 523.029 737.000
2 1 5 0 29 3.764 514.986 736.000
2 1 5 0 30 3.808 503.568 726.000
2 1 5 0 31 3.805 493.596 723.000
2 1 5 0 32 3.693 512.214 730.000
2 1 5 0 33 3.721 507.094 727.000
2 1 5 0 34 3.561 525.074 732.000
2 1 5 0 35 3.727 513.746 732.000
2 1 5 0 36 3.664 527.023 743.000
2 1 5 0 37 3.219 534.835 744.000
2 1 5 0 38 2.535 554.637 745.000
2 1 5 0 39 2.955 542.849 736.000
2 1 5 0 40 2.791 531.097 722.000
2 1 5 0 41 2.814 530.185 722.000
2 1 5 0 42 2.978 518.716 724.000
2 1 5 0 43 2.757 524.288 724.000
2 1 5 0 44 2.654 541.286 726.000
2 1 5 0 45 2.934 522.246 722.000
2 1 5 0 46 2.940 526.825 729.000
2 1 5 0 47 2.780 538.399 725.000
2 1 5 0 48 2.965 534.484 734.000
2 1 5 0 49 2.267 422.533 718.000
2 1 5 0 50 2.221 428.711 723.000
2 1 5 0 51 1.178 446.412 617.000
2 1 5 1 0 2.829 538.004 744.000
2 1 5 1 1 3.394 523.197 742.000
2 1 5 1 2 3.403 524.856 745.000
2 1 5 1 3 3.423 522.046 744.000
2 1 5 1 4 3.343 519.267 737.000
2 1 5 1 5 3.427 524.068 739.000
2 1 5 1 6 3.454 520.535 745.000
2 1 5 1 7 3.478 524.802 747.000
2 1 5 1 8 3.702 496.765 730.000
2 1 5 1 9 3.921 492.436 728.000
2 1 5 1 10 3.799 518.588 744.000
2 1 5 1 11 3.579 526.377 747.000
2 1 5 1 12 3.931 504.157 739.000
2 1 5 1 13 3.840 512.528 742.000
2 1 5 1 14 3.862 528.425 756.000
2 1 5 1 15 3.818 529.602 755.000
2 1 5 1 16 3.975 498.270 735.000
2 1 5 1 17 4.081 486.781 732.000
2 1 5 1 18 3.716 540.099 756.000
2 1 5 1 19 3.828 526.576 756.000
2 1 5 1 20 3.802 514.766 742.000
2 1 5 1 21 3.408 523.781 743.000
2 1 5 1 22 3.538 509.042 730.000
2 1 5 1 23 3.481 515.169 730.000
2 1 5 1 24 3.736 530.072 751.000
2 1 5 1 25 3.644 538.609 752.000
2 1 5 1 26 3.712 536.643 754.000
2 1 5 1 27 3.535 547.967 748.000
2 1 5 1 28 3.791 517.402 738.000
2 1 5 1 29 3.771 518.234 737.000
2 1 5 1 30 3.832 503.513 729.000
2 1 5 1 31 3.840 498.470 726.000
2 1 5 1 32 3.768 512.844 724.000
2 1 5 1 33 3.714 512.126 729.000
2 1 5 1 34 3.137 530.882 733.000
2 1 5 1 35 3.682 520.769 736.000
2 1 5 1 36 3.542 535.513 745.000
2 1 5 1 37 3.264 532.700 746.000
2 1 5 1 38 2.809 549.210 745.000
2 1 5 1 39 2.874 536.348 739.000
2 1 5 1 40 2.749 535.172 722.000
2 1 5 1 41 2.934 520.229 721.000
2 1 5 1 42 3.041 513.318 722.000
2 1 5 1 43 3.074 516.889 724.000
2 1 5 1 44 2.890 526.151 725.000
2 1 5 1 45 2.863 521.710 725.000
2 1 5 1 46 2.840 529.901 730.000
2 1 5 1 47 2.860 527.864 729.000
2 1 5 1 48 3.015 523.383 734.000
2 1 5 1 49 3.013 527.196 735.000
2 1 5 1 50 2.381 421.429 731.000
2 1 5 1 51 1.271 436.257 611.000
2 1 5 2 0 3.176 517.546 740.000
